id,type,identifier,title,retrieved,used_for
S1,adr,docs/architecture/decisions/2026-09-10-15-static-form-of-element-backed-css.md,"ADR 15: The Static Form of Element-Backed CSS",2026-09-10,"Governing ruling for the size/border vs image-axis split; construct-kind classification; tie-boundary measurement and generic restatement rule"
S2,github-issue,spec-kitty/spec-kitty-design#304,"[TKT4] sk-entity-marker size, border and image axis — one mark for accounts, entities and profile pictures",2026-09-10,"Mission source issue: acceptance criteria, evidence section, non-goals, boundary"
S3,github-issue,spec-kitty/spec-kitty-design#300,"Epic: Teams and membership — static-path contract, status tones, and public-boundary surfaces",2026-09-10,"Programme context, dependency graph (#304 -> #303), shared constraints (#286, #161), excluded-work table (sk-avatar)"
S4,github-issue,spec-kitty/spec-kitty-design#212,"[TKW4] compact work-item extensions — card-layout action row, compact marker, activity pulse, inline empty state",2026-09-10,"Confirms sk-avatar non-goal; confirms current size/shape axis (sm/circle) was introduced here and is the baseline this mission extends"
S5,github-issue,spec-kitty/spec-kitty-design#311,"[styles] backfill the shadow-only ::slotted() static-consumer instruction into the six sheets that still owe one (ADR-15 kind 3)",2026-09-10,"Confirms sk-entity-marker's instruction is already discharged by #301's PR and is out of #311's scope; confirms the instruction-writing pattern (header comment, structurally faithful rewrite, generic tie boundary) this mission must follow for consistency"
S6,source-file,packages/styles/src/entity-marker/sk-entity-marker.css,"sk-entity-marker.css (with ADR-15 header comment)",2026-09-10,"Current CSS surface to extend: box model, existing --sm/--circle modifiers, existing ::slotted(img) rule and its instruction comment"
S7,source-file,packages/elements/src/entity-marker/sk-entity-marker.ts,"SkEntityMarker element",2026-09-10,"Current reactive properties (label/size/shape), fallback-and-warn behavior, accessible-naming render logic to preserve unchanged"
S8,source-file,fixtures/elements-behaviour/src/sk-entity-marker.test.ts,"Existing behaviour test suite for sk-entity-marker",2026-09-10,"Baseline test coverage this mission must not regress: naming contract, axis independence, fail-open warnings, image cover/clip, SC-010/SC-013/SC-014"
S9,doc,docs/contributing/adding-a-component.md,"Adding a component (elements-first architecture)",2026-09-10,"THE RECIPE: tokens-first CSS authoring, :host rules table, ::slotted() tie-boundary table and generic restatement rule, markup-module optionality, ratchet files"
S10,doc,docs/architecture/decisions/,"ADR-9, ADR-10, ADR-11",2026-09-10,"Elements-first architecture background: shadow DOM ownership, generated wrappers, required behaviour ids"
