id,source,observation,decision_or_check
E-001,GitHub issue #254,"Current sk-app-shell has personal-rail, context-sidebar, page-header, and default slots; only stacks below 720px.","Extend existing shell with opt-in compact axis; preserve legacy default."
E-002,GitHub issue #254,"Approved threshold is 860px; D2 removes desktop columns and supplies compact top bar/drawer.","Verify 860, 768, and 390px closed/open states."
E-003,GitHub issue #254,"Consumer owns open value, trigger, labels, navigation, routes, and destination; shell owns placement and dismissal intent.","Controlled state contract; no router or application store."
E-004,GitHub issue #254,"Unknown axis values warn and fail open; pre-upgrade property values survive registration.","Add compatibility and upgrade tests."
E-005,GitHub issue #254,"Escape is a single dismissal request only while open; consumer accepts by setting open false.","Typed bubbling composed non-cancelable event; focus after accepted close."
E-006,Current sk-app-shell TS/CSS,"Element is stateless and renders the existing six-part grid with no compact region.","Add optional regions without changing existing parts or default behavior."
E-007,ADR-9,"Open shadow DOM styling API is tokens, declared parts, and documented custom properties; selectors cannot cross boundary.","Use token/part contract; test part ratchet."
E-008,ADR-10,"Element template is sole authored markup; static HTML is generated.","Author seam in element source; regenerate artifacts."
E-009,ADR-11 + authoring recipe,"Typed events, documented members, manifest, behavior/mutation, wrapper/type and size checks are required.","Include exact conformance envelope in implementation verification."
E-010,Approved UX set D1/D2/D4-D8,"Screens show desktop rail/context composition and compact narrow presentation with long-label and drawer requirements.","No new wrapper, rail, or context component; assert no page overflow."
E-011,#125; #135; #145/PR195; #204/PR235; #253,"Issue lineage supplies compact-navigation need, shell dependencies, verification constraints, and parent coordination.","Treat #254 outcome as binding scope."
E-012,WAI disclosure behavior reference,"Disclosure-like keyboard and exposure behavior supports accessibility interpretation only.","Supporting reference; does not transfer state ownership."
E-013,Independent Codex post-tasks architecture lens,"Escape/focus/inertness were not explicitly gated by the effective compact presentation and pending dismissal could leak into a later close.","Define effective open from axis + shell inline threshold + controlled value; expire pending intent after the first post-dispatch render."
E-014,Independent Codex post-tasks architecture and scope lenses,"Consumer-owned ARIA could remain visibly stale if the trigger lived outside the region hidden above the threshold.","Require the consumer trigger in compact-header and in the same light-DOM root as its navigation target; both leave presentation together above 860px."
E-015,Independent Codex post-tasks verification lens,"The programme requires 400% zoom in addition to issue #254's 200%, and broad gate labels were not deterministically executable.","Synchronize 200%/400% across artifacts; pin exact commands and an exact-SHA evidence path in WP01."
E-016,Current app-shell/container and generator surfaces,"The component's existing threshold is an inline container query and it has no authored markup module.","Use shell inline size for CSS and observer behavior; add a constrained-shell test; run static generator without inventing an inapplicable app-shell markup surface."
