source_id,title,source_type,location,authority,accessed_at,scope
S-001,"Issue #146: Team overview feed elements",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/146,Binding mission contract,2026-09-05,"Four components; action event; scenarios; Tier C; dependency"
S-002,"Epic #144: Team overview stateless elements",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/144,Binding programme contract,2026-09-05,"Ownership boundary; child scopes; merge coordination"
S-003,"Issue #92: list semantics failure",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/92,Measured accessibility evidence,2026-09-05,"Custom-element host breaks ul/li ancestry; rejected display:contents"
S-004,"Issue #79 and merged primitives",GitHub issue and landed source,https://github.com/spec-kitty/spec-kitty-design/issues/79,Landed dependency authority,2026-09-05,"sk-button and sk-pill-tag public contracts"
S-005,"ADR 9: shadow DOM and styling API",Architecture decision,docs/architecture/decisions/2026-09-02-9-shadow-dom-and-styling-api.md,Architecture authority,2026-09-05,"Open roots; tokens/parts; no cross-root selectors"
S-006,"ADR 10: distribution and canonical markup",Architecture decision,docs/architecture/decisions/2026-09-02-10-distribution-and-canonical-markup.md,Accepted architecture authority,2026-09-05,"Constructed sheets; one authored markup source; registry safety"
S-007,"ADR 11: verification stack",Architecture decision,docs/architecture/decisions/2026-09-02-11-verification-stack-and-wrapper-generation.md,Verification authority,2026-09-05,"Applicable behavior tests; red-first evidence; generated wrappers"
S-008,"Component authoring recipe from #76",Repository procedure,docs/contributing/adding-a-component.md,Current implementation procedure,2026-09-05,"Generators; ratchets; local gate sequence; LightMode"
S-009,"Approved Team overview screenshot",Visual reference,/tmp/codex-clipboard-LwdjJW.png,User-supplied visual authority,2026-09-05,"Section and row scan grammar; long paths; pills; metadata"
S-010,"Fetched elements-first train head",Git reference,origin/train/elements-first@dcf7af26ff8f14d0d8b5a8e45c7eb9d64201e053,Planning base authority,2026-09-05,"Latest fetched base at mission creation"
S-011,"Repository agent guide",Repository guidance,CLAUDE.md,Current repository authority,2026-09-05,"Package boundaries; token and generation rules"
S-012,"Operator event ruling for issue #146",Operator decision,"mission conversation, 2026-09-05",Binding clarification,2026-09-05,"Event is non-cancelable because the controlled row owns no default action; do not claim ADR-11 SC-009"
S-013,"Issue #112: conformance matrix",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/112,Current programme context,2026-09-05,"Open at planning time; use only conformance commands actually present on rebased train"
