source_id,title,source_type,location,authority,accessed_on,scope_and_notes
S-001,"Issue #278: Mission Kanban K1–K6 pattern stories",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/278,Primary binding mission contract,2026-09-09,"Intent; exact K1-K6 states; acceptance and test requirements; dependencies; non-goals. Read live with gh."
S-002,"Epic #276: Mission Kanban",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/276,Primary programme boundary authority,2026-09-09,"Library/application ownership seam; child sequencing; programme exit criteria; non-goals. Read live with gh."
S-003,"Mission Kanban durable workbench documents",Approved UX evidence,/home/jeroennouws/dev/team-kitty-missions/ux_redesign/mission-kanban,Approved design and capability authority,2026-09-09,"README; DESIGN; BACKEND-CAPABILITY-MAP; SCREEN-MATRIX; UX-DECISION-REPORT; MVP issue audit; dark-mode family review."
S-004,"K1 populated five-stage desktop",Approved UX HTML and PNG,/home/jeroennouws/dev/team-kitty-missions/ux_redesign/mission-kanban/screens/K1-populated-five-stage-desktop-dark.html,Approved K1 content and visual authority,2026-09-09,"Exact 15 Work Packages; lane and stage counts; commit context; navigation; reported-live panel; inspected HTML and PNG."
S-005,"K2 populated five-stage narrow",Approved UX PNG,/home/jeroennouws/dev/team-kitty-missions/ux_redesign/mission-kanban/screens/K2-populated-five-stage-narrow-dark.png,Approved K2 visual authority,2026-09-09,"390px compact shell; 16px gutters; one full lane plus next-lane glimpse; board-local horizontal movement."
S-006,"K3 detailed filters active",Approved UX HTML and PNG,/home/jeroennouws/dev/team-kitty-missions/ux_redesign/mission-kanban/screens/K3-detailed-filter-active-desktop-dark.html,Approved K3 content and visual authority,2026-09-09,"Ten filter lanes; In review and Blocked checked; 2 of 15; WP05 and WP10 projection; separate Apply/Clear controls."
S-007,"K4 snapshot behind log",Approved UX HTML and PNG,/home/jeroennouws/dev/team-kitty-missions/ux_redesign/mission-kanban/screens/K4-snapshot-behind-log-desktop-dark.html,Approved K4 content and visual authority,2026-09-09,"Attention notice beside the unchanged commit context; exact copy; full board unchanged."
S-008,"K5 observed not-yet-pushed overlay",Approved UX HTML and PNG,/home/jeroennouws/dev/team-kitty-missions/ux_redesign/mission-kanban/screens/K5-unverified-overlay-desktop-dark.html,Approved K5 content and visual authority,2026-09-09,"WP03 remains in_progress/Doing; lynn -> for_review observation appears as a visibly separate supporting tier."
S-009,"K6 empty five-stage board",Approved UX HTML and PNG,/home/jeroennouws/dev/team-kitty-missions/ux_redesign/mission-kanban/screens/K6-empty-board-desktop-dark.html,Approved K6 content and visual authority,2026-09-09,"All five stages and zero counts retained; exact empty lane/live copy; no CTA."
S-010,"Team Kitty render_kanban at 29f62da",Pinned application source,https://github.com/spec-kitty/EXPERIMENTAL-spec-kitty-saas/blob/29f62da0c40edc74e37803923598d2150dce9697/apps/connectors/render_fragments.py,Application behavior evidence,2026-09-09,"Fetched through GitHub API at exact pin; KANBAN_COLUMNS; LANE_TO_COLUMN; detailed lane order; reducer ownership."
S-011,"ADR-9: Shadow DOM styling and label ownership",ADR,docs/architecture/decisions/2026-09-02-9-shadow-dom-and-styling-api.md,Accepted architectural authority,2026-09-09,"Tokens/parts/custom properties are the styling API; no cross-shadow selectors; same-root semantic relationships."
S-012,"ADR-10: Distribution and canonical markup",ADR,docs/architecture/decisions/2026-09-02-10-distribution-and-canonical-markup.md,Accepted architectural authority,2026-09-09,"Native-semantics styles-only class; authored/generated boundaries; no duplicated component CSS/markup."
S-013,"ADR-11: Verification stack",ADR,docs/architecture/decisions/2026-09-02-11-verification-stack-and-wrapper-generation.md,Accepted architectural authority,2026-09-09,"Real browser behavior; cross-browser/visual/a11y layers; non-vacuous behavior requirements and ratchets."
S-014,"Current component-authoring guide",Contributor guide,docs/contributing/adding-a-component.md,Maintained operational authority,2026-09-09,"Tokens; LightMode via class=sk-light; forced colors/reduced motion; Storybook and full quality-gate requirements."
S-015,"Issues #176 and #178",GitHub predecessor issues,"https://github.com/spec-kitty/spec-kitty-design/issues/176; https://github.com/spec-kitty/spec-kitty-design/issues/178",Binding disclosure/empty-state/notice contracts,2026-09-09,"Native details/summary and empty state remain light DOM; notice owns optional announced block message, not clocks/state."
S-016,"Issues #209–#212",GitHub predecessor issues,"https://github.com/spec-kitty/spec-kitty-design/issues/209; https://github.com/spec-kitty/spec-kitty-design/issues/210; https://github.com/spec-kitty/spec-kitty-design/issues/211; https://github.com/spec-kitty/spec-kitty-design/issues/212",Binding Work Package primitive contracts,2026-09-09,"Board/lane native semantics and overflow; progress/select boundaries; card action-row; marker/status; inline empty state."
S-017,"Issue #254 and current sk-app-shell",Issue and source,packages/elements/src/app-shell/sk-app-shell.ts,Binding compact-shell contract,2026-09-09,"Opt-in compact presentation at 860px; consumer-owned navigation and open state; hidden-region focus protection."
S-018,"Issue #272 and current sk-action-row",Issue and source,packages/elements/src/action-row/sk-action-row.ts,Binding native-route contract,2026-09-09,"Non-blank href renders a real anchor; route wins over selectable; independent controls stay outside; flush/card axes."
S-019,"Issue #277 and current checkbox choice group",Issue and source,packages/styles/src/checkbox-choice-group/,Binding detailed-filter presentation contract,2026-09-09,"Real fieldset/legend/label/input; ten-lane fixture; native behavior; consumer-owned state/count/filter/actions."
S-020,"Existing Storybook pattern composition precedent",Repository source,packages/elements/src/patterns/work-package-views.stories.ts,Nearest implementation precedent,2026-09-09,"Deep-frozen fixture and pure projections in excluded CSF module; public composition; apps/storybook preview cross-layer CSS seam."
S-021,"Pattern and story gates",Repository tooling,scripts/check-pattern-composition.mjs,Gate authority,2026-09-09,"No private reach-through or duplicated component CSS; expected-stories ratchet; Playwright behavior/visual and axe surfaces."
S-022,"Project charter",Governance,.kittify/charter/charter.md,Binding quality and branch governance,2026-09-09,"Story state coverage; zero axe violations; visual comparison; cross-browser smoke; conventional commits and train merge policy."
