evidence_id,source_id,claim,observation,decision,requirement_refs
EVD-001,SRC-001,"No new Dossier component","Issue requires a Storybook-only public composition and forbids page or row wrappers","Keep renderer inside repository-dossier.stories.ts with no package export","FR-015 C-001 C-002"
EVD-002,SRC-003,"Approved family has seven dark evidence screens","Artifact index and matrix identify D1 D2 and D4-D8 while D3 remains deferred","Provide independent stories for D1 D2 closed/open and D4-D8; treat LightMode as system proof","FR-001-FR-008 NFR-006"
EVD-003,SRC-005,"Library must not invent application truth","Capability map separates supplied repository facts from Team Kitty discovery inference polling and execution","Use immutable supplied fixtures and pure display projections only","FR-011 FR-012 C-006 C-007"
EVD-004,SRC-012,"Narrow navigation is controlled by the consumer","Merged app-shell contract exposes compact presentation open state dismiss focus return ARIA and inert behavior","Demonstrate only story-local drawer state and test the public seam","FR-002 NFR-003 C-004"
EVD-005,SRC-013,"Repository context navigation remains native","Merged context-navigation contract styles grouped nested nav lists links and unavailable items without JS","Compose native nav ul li and a with public classes","FR-010 C-005"
EVD-006,SRC-014,"Copy feedback must reflect actual clipboard result","Merged copy-field owns exact clipboard request and stable accessible success/failure feedback","Delegate every exact value to sk-copy-field and test both real outcomes","FR-009 NFR-001 NFR-002"
EVD-007,SRC-010,"Mission status context fits existing action rows","Merged action-row supporting slot and marker/status composition covers D6","Use supporting/status surfaces and create no mission-row abstraction","FR-005 C-002 C-003"
EVD-008,SRC-011,"Detail semantics already exist","Merged breadcrumbs prose timeline and related primitives cover the hierarchy","Reuse public primitives and native semantics","FR-001 FR-010 C-003"
EVD-009,SRC-009,"Pattern composition has an executable boundary","check-pattern-composition scans the pattern directory for private reach and duplicated component styling","Place authored pattern in the guarded directory and run gate plus self-test","NFR-008 C-004"
EVD-010,SRC-008,"Visual fidelity is a family property","D1 D2 and D4-D8 differ by state while retaining shared hierarchy and responsive continuity","Review every generated state individually then compare the complete family on exact final head","NFR-006 SC-011"
