evidence_id,source_id,finding,decision_or_requirement
EV-001,SRC-011,"Confirmed: :host { container-type: inline-size } (line 5) plus :host([presentation=""rail-preserving""]) rules inside @container (max-inline-size: 1100px) (line 67) and :host([presentation=""compact""]) rules inside @container (max-inline-size: 860px) (line 104)",R-003;R-004
EV-002,SRC-012,"Confirmed: :host { container-type: inline-size } (line 4) is the sole container establishing @container (max-width: 400px) (line 186), the only reflow rule in the file",R-003;R-004
EV-003,SRC-013,"Confirmed: ::slotted(img) (lines 41-46) is the only image-targeting rule in the 46-line file",R-003;R-004
EV-004,SRC-017,"Not independently re-verifiable: T3/T4 canvases allegedly copied :host([presentation=""compact""]) verbatim into a document stylesheet where it matches nothing. Planning repo unreachable from this checkout (gh repo view fails to resolve it)",R-003
EV-005,SRC-014,"check-adopted-css-boundaries.mjs's own self-test table accepts :host, :host([open]) .sk-nav-pill__items, and ::slotted compounds as owned/legitimate; none of the three measured constructs violates the existing ADR-9 boundary rule",R-004
EV-006,SRC-003,"#161 confirmed open live: @spec-kitty/styles main/exports/types point at ./dist/src/index.js, which tsconfig.lib.json's rootDir/outDir never emits; subpath exports (./button/*, etc.) do resolve",R-006
EV-007,SRC-004,"#239 confirmed open live: asks the inverse question (can a shadow element consume a light-DOM primitive's stylesheet); explicitly says neither answer is decided there, mirroring this mission's own non-prejudging posture",R-007
EV-008,SRC-002,"#300's dependency map and text confirm four children gated on this ruling: #302 (G1), #304 (G3), #305 (G4), #307 (G6); #306 and #308 explicitly have no #301 dependency",R-008
EV-009,SRC-005,"#253 (open epic) and its closed child #274 own the existing compact app-shell / drawer work; #300's exclusion table names this explicitly as not-#301's-to-implement",R-009
EV-010,SRC-007,"ADR-9 status Accepted; establishes the cross-shadow-boundary selector rule and the confirmation-checkable styling API (tokens, ::part(), custom properties) that any generated-static-form ruling would need to extend without violating",R-002;R-005
EV-011,SRC-008,"ADR-10 status Accepted; already contains a precedent for a class-level ruling on styles-only components (the #176 amendment) and for generated, regenerable static markup (build-element-markup.mjs) — the mechanism a ""generated static form"" ruling would most likely extend",R-005
EV-012,SRC-018,"Real build (rm -rf dist; nx run tokens:build/styles:build --skip-nx-cache) confirms per-component subpath exports (e.g. @spec-kitty/styles/action-row/*, /entity-marker/*) resolve to real on-disk files via Node's export-map resolution through the workspace symlink",R-006;FR-004
EV-013,SRC-018,"Same build shows dist/src/index.js and dist/src/index.d.ts DO exist, contradicting #161's own literal claim that the compiler never emits a dist/src/ level; package.json's declared main/types path is not missing",R-006;FR-004
EV-014,SRC-018,"Root import still fails for a strict Node ESM consumer: dist/src/index.js contains extensionless relative re-exports (export * from './blog-card/index') which Node's ESM resolver rejects (ERR_MODULE_NOT_FOUND) since the referenced file is dist/src/blog-card/index.js and requires an explicit extension",R-006;FR-004
EV-015,SRC-011,"Re-confirmed sk-action-row.css still opens with :host { display: block; min-width: 0; container-type: inline-size; } at the current measurement pass",R-006
EV-016,SRC-016,"Confirmed no i18n/copy-text enforcement gate exists anywhere under scripts/ (grep for i18n|translat returns nothing); check-component-token-literals.mjs is a design-token/value-literal gate (colour, spacing, typography), unrelated to user-visible copy; #286 compliance is review-only",C-002
