id,claim,source,verified_at,result
E-001,"#302 sk-pill-tag status-tone axis is merged into the train ref this mission is based on",git log --oneline -5 in this checkout (9caf214 is the train head; 53cd674/bf2e801 record acceptance of pill-tag-status-tone-axis-01M25AVP),mission/boundary-page-styles@871bcb3 based on 9caf214,confirmed - 13 .sk-pill-tag--status-* rules present in packages/styles/src/pill-tag/sk-pill-tag.css
E-002,"#304 sk-entity-marker size/border/image axis is merged into the train ref this mission is based on",same git log; merge commit 9caf214 title references mission/entity-marker-size-border-image-axis,mission/boundary-page-styles@871bcb3 based on 9caf214,confirmed - .sk-entity-marker--lg and .sk-entity-marker--bordered both present in packages/styles/src/entity-marker/sk-entity-marker.css
E-003,"sk-pill-tag's status axis is decoration-only, no role/name/meaning inference",packages/styles/src/pill-tag/sk-pill-tag.css header comment above .sk-pill-tag--status-* block,train head 9caf214,"confirmed - quoted verbatim: 'TONE IS NEVER THE ONLY CARRIER OF MEANING (FR-010) ... No role, no accessible-name contribution, and no inference of meaning'"
E-004,"sk-entity-marker's border attribute is a validated string enum, bare attribute silently no-ops for static-HTML authors",packages/styles/src/entity-marker/sk-entity-marker.css .sk-entity-marker--bordered comment; mission brief's own text,train head 9caf214,confirmed - comment documents border-box arithmetic and forced-colors auto-remap; bare-attribute gap stated in mission brief itself
E-005,"ADR-15 rules on exactly four construct kinds, all of them properties of a shadow-DOM sheet being translated to a static form",docs/architecture/decisions/2026-09-10-15-static-form-of-element-backed-css.md,train head 9caf214,confirmed - full read; Summary table lists host-attribute-in-container / host-container-type / ::slotted() / cross-sheet ::part() as the only four rows
E-006,"container-type appears in exactly four sheets under packages/styles/src, none of them sk-boundary-page (which does not exist pre-mission)",ADR-15 'Which sheets this ruling reaches' table,train head 9caf214,confirmed - sk-app-shell, sk-action-row, sk-copy-field, sk-page-header only
E-007,"sk-boundary-page will join a set of existing styles-only families with no packages/elements sibling (precedent for the shape this mission's deliverable takes)",comm -23 on sorted packages/styles/src vs packages/elements/src directory listings,workspace checkout at HEAD 871bcb3,confirmed - breadcrumbs, checkbox-choice-group, collection, context-nav, data-table, disclosure, empty-state, event-timeline, facts, form-field, form-select, progress, prose, segmented-choice, skip-link, workflow-board, workflow-lane
E-008,"sk-empty-state demonstrates the with-content/without-content exemplar-HTML pattern and its own absence assertion test",packages/styles/src/empty-state/*.html; apps/storybook/src/tests/sk-empty-state-inline.spec.ts,train head 9caf214,confirmed - 'empty consumer content remains empty and synthesizes no fallback' test asserts pseudo-content stays none/normal and no role/live-region is synthesized
E-009,"visual.spec.ts is hand-curated; nothing iterates stories automatically",apps/storybook/src/tests/visual.spec.ts (2003 lines, per-story test functions),train head 9caf214,confirmed - matches mission brief's #305/FR-015 defect-pattern description
E-010,"Visual baselines must be harvested from the PR's own CI run, never generated locally",apps/storybook/src/tests/visual.spec.ts header comment ('BASELINES ARE CI-AUTHORITATIVE'),train head 9caf214,"confirmed - quoted: 'shot on the ubuntu-latest runner, not locally ... Refresh them from the visual-regression-diffs artifact of a CI run, never with a local --update-snapshots'"
E-011,"#286 (no-literal-text-in-render gate) is open with no enforcing script",mission brief's own verified claim; corroborated by grep for literal/text-node checks in scripts/,train head 9caf214,confirmed per mission brief; not independently re-run in this mission (brief states it was already verified)
E-012,"#308 shipped an absent-state HIGH defect (.sk-confirm-dialog { display: flex } with no [open] qualifier)",mission brief's own account of #308,n/a - reported in the dispatching brief,accepted as reported evidence per ADR-15's own convention for citing brief-reported findings not independently re-measured
E-013,"Epic #300 names #303 as sequenced after #302 and #304, coordinating with Family 6",gh issue view 300 --repo spec-kitty/spec-kitty-design,2026-09-10,"confirmed - dependency map: 'T2 --> T3', 'T4 --> T3', 'T3 <-.coordinate.-> F6'"
E-014,"Issue #303's own acceptance text requires the frame to infer no tone and add no naming responsibility",gh issue view 303 --repo spec-kitty/spec-kitty-design,2026-09-10,"confirmed - 'The frame infers no tone.' stated as its own sentence in the Outcome and public contract section"
