evidence_id,source_ids,finding,decision_or_requirement_supported,confidence,status
E-001,"S-001;S-002","#278 requires pattern stories/immutable fixtures and explicitly forbids publishing or registering sk-mission-kanban; #276 keeps application behavior consumer-owned.","Scope; R-01",High,Accepted
E-002,"S-001","The required output is exactly K1 populated desktop; K2 narrow contained; K3 ten filters/two selected; K4 snapshot warning; K5 observed overlay; K6 stable empty board.","Story matrix",High,Accepted
E-003,"S-003","The capability map supplies ten detailed lanes; five rendered buckets; WP id/link; lane; profile; tracker refs; optional observed overlay; commit/branch; snapshot flag; live panel, and explicitly does not supply human titles/reasons/owners/estimates/priorities.","R-02; R-05; non-goals",High,Accepted
E-004,"S-004","K1 carries 15 exact WP records with stage counts 3/4/3/1/4 and detailed counts 0/2/1/3/2/1/1/4/1/0.","Data model; R-02; R-03",High,Accepted
E-005,"S-003;S-004;S-005","The approved hierarchy is shell -> breadcrumbs/header/routes -> commit truth -> filters -> five-stage board -> separately labelled live panel; K2 preserves this hierarchy in compact form.","R-03; layout calibration",High,Accepted
E-006,"S-006","K3 checks In review and Blocked, reports 2 of 15, and displays WP10/for_review plus WP05/planned as the two non-empty aggregate stages.","R-04; projection invariant",High,Accepted
E-007,"S-007","K4 adds one snapshot-behind-log notice and retains the identical 72c4e9a/feature-launch-resilience context and board data.","R-02; R-06",High,Accepted
E-008,"S-008","K5 leaves WP03 labelled in_progress in Doing and adds 'lynn -> for_review, not yet pushed' under an Observed/up-to-60s-behind tier.","R-02; R-06",High,Accepted
E-009,"S-009","K6 retains all five named stages with zero counts, empty lists/empty copy, an empty live panel, and no CTA.","R-07",High,Accepted
E-010,"S-010","Pinned Team Kitty source maps planned/blocked to Planned; claimed/in_progress to Doing; for_review/in_review to For review; approved to Approved; done/canceled to Done.","Verified state model; R-02",High,Accepted
E-011,"S-010","The application renderer reduces diary rows, sorts WP ids, builds detailed_lanes and aggregate lanes, and computes snapshot disagreement; these remain application behavior and are not copied into a public component.","Ownership boundary; R-02",High,Accepted
E-012,"S-001;S-016","#278 and #209 require the board region/name/tabindex triad only for genuine overflow; non-overflow desktop content must not gain a dead focus stop.","Conflict resolution; R-03",High,Accepted
E-013,"S-016","Workflow lanes are native named sections with direct native ordered lists; CSS owns containment/presentation while consumer data owns names/counts/order/items.","R-03; R-07",High,Accepted
E-014,"S-019","#277/current source provides the exact K3 fieldset/legend/label/native checkbox structure and assigns checked state/counts/filter execution/Apply/Clear behavior to the consumer.","R-04",High,Accepted
E-015,"S-018","#272 is closed and present in the train: action-row href mode renders a real anchor, preserves native navigation behavior, emits no activation event, and keeps controls outside the anchor.","R-05",High,Accepted
E-016,"S-017","#254 is closed and present in the train: app-shell compact presentation owns responsive placement and hidden-region focus exposure while the consumer owns navigation content/open state/routes.","R-03",High,Accepted
E-017,"S-015;S-016","Notice, status indicator, action-row supporting content, and inline empty state already cover K4/K5/K6 without a new domain surface or behavior.","R-06; R-07",High,Accepted
E-018,"S-011;S-021","ADR-9 forbids cross-shadow selectors and the pattern gate rejects shadowRoot/renderRoot/getRootNode access, private part use, unscoped sk-* rules, and copied owned-class CSS in patterns.","R-08",High,Accepted
E-019,"S-012;S-014;S-021","Pattern-local layout remains legal when scoped to pattern-owned classes and token based; generated/public component CSS and markup are not copied or hand-edited.","R-08",High,Accepted
E-020,"S-020","Existing Work Package Views places deep-freeze, pure projections, render helpers, and fixtures in an excluded *.stories.ts file; tsconfig excludes stories from published output.","R-01; R-02",High,Accepted
E-021,"S-013;S-020;S-021","Current precedent uses direct fixture assertions plus built Storybook Playwright, axe ratchet, accessibility snapshots, overflow/focus checks, and explicit visual cases; render-only checks are insufficient.","R-09",High,Accepted
E-022,"S-014;S-022","Every acceptance story must be axe-enabled; LightMode must use a real class=sk-light wrapper; required narrow/zoom/forced-colors/reduced-motion/visual checks are repository quality gates.","R-09",High,Accepted
E-023,"S-004;S-019","The ten detailed choices include Genesis and Canceled at zero count; zero is visible metadata and must not cause an option to disappear.","Data model; K1/K3/K6",High,Accepted
E-024,"S-003;S-008","The UX decision report separates committed state, snapshot disagreement, observed overlays, and reported-live presence; no tier overwrites another.","R-06; data relationships",High,Accepted
E-025,"S-018;S-003","Using WP id as the action-row title and a fixture href as its route stays within supplied data; adding a human-readable WP title would violate the capability map.","R-05",High,Accepted
E-026,"S-016","#210 and #211 were required reading but progress and the native single-select lane switch are not named in #278's approved K1-K6 composition; adding either would widen the pattern.","Non-goals",High,Accepted
E-027,"S-005;S-013;S-017","The narrow board must use the shell's existing below-860 compact mode and board-local overflow; no second responsive shell or page-wide horizontal scrolling is needed.","R-03",High,Accepted
E-028,"S-014;S-021","The current pattern gate does not independently lint raw design values inside inline story CSS, so review/tests must explicitly hold the pattern to --sk-* tokens.","R-08; risk",High,Accepted
E-029,"S-004;S-006;S-007;S-008;S-009","All five available HTML artifacts and all six PNGs were inspected directly; visual decisions in the report are based on durable evidence, not issue prose alone.","Visual authority",High,Accepted
E-030,"S-021","expected-stories currently totals 381 and records story acceptance evidence explicitly; final new IDs must come from the built Storybook index and helper exports must be excluded.","R-09; ratchet risk",High,Accepted
