source_id,source_type,title,location,authority,accessed_at,scope
SRC-001,github-issue,"Issue #329: [TKA3] CLI auth pattern stories",https://github.com/spec-kitty/spec-kitty-design/issues/329,binding,2026-09-10,"four required stories; dependency posture; deadline-critical acceptance; non-goals"
SRC-002,github-issue,"Epic #319: CLI auth — decision controls, input contracts, and pattern proof",https://github.com/spec-kitty/spec-kitty-design/issues/319,binding-programme,2026-09-10,"child dependency map; Wave 1/Wave 2 sequencing; excluded work table"
SRC-003,github-issue,"Issue #320: [TKA1] sk-button danger-secondary axis",https://github.com/spec-kitty/spec-kitty-design/issues/320,binding-dependency,2026-09-10,"button gap evidence; required stories/tests; non-goals for the danger tone"
SRC-004,github-issue,"Issue #321: [TKA2] .sk-input / sk-form-input contrast and touch-target contract",https://github.com/spec-kitty/spec-kitty-design/issues/321,binding-dependency,2026-09-10,"input gap evidence; target-size floor precedent; anti-drift contract"
SRC-005,github-issue,"Issue #303: sk-boundary-page styles-only frame",https://github.com/spec-kitty/spec-kitty-design/issues/303,binding-dependency,2026-09-10,"boundary-page public anatomy; required states; sequencing after TKT2/TKT4"
SRC-006,github-issue,"Issue #286: No user-visible literal in an element's render()",https://github.com/spec-kitty/spec-kitty-design/issues/286,binding-crosscutting,2026-09-10,"known-violation table; DoD shape for a grep-style no-literal assertion"
SRC-007,git-revision,"Current design train at mission cut",4d6c5f2db5a774f4676d74129c8205e01e231f8a,authoritative,2026-09-10,"mission base; button/input/boundary-page measurement point"
SRC-008,local-code,"packages/styles/src/button/sk-button.css",packages/styles/src/button/sk-button.css,authoritative,2026-09-10,"confirms only primary/secondary/ghost tones exist; no danger tone"
SRC-009,local-code,"packages/styles/src/form-field/sk-form-field.css",packages/styles/src/form-field/sk-form-field.css,authoritative,2026-09-10,"confirms .sk-input border with no min-height/target-size floor"
SRC-010,local-code,"scripts/check-pattern-composition.mjs",scripts/check-pattern-composition.mjs,authoritative,2026-09-10,"existing composition/inventory gate scope, rules R1-R4, scan directory"
SRC-011,local-code,"packages/styles/src/pill-tag/sk-pill-tag.css",packages/styles/src/pill-tag/sk-pill-tag.css,authoritative,2026-09-10,"confirms existing --status-danger tone reusable for terminal states"
SRC-012,local-code,"packages/elements/src/entity-marker/",packages/elements/src/entity-marker/,authoritative,2026-09-10,"confirms sk-entity-marker already implemented, available to #303"
SRC-013,local-code,"packages/styles/src/facts/sk-facts.css",packages/styles/src/facts/sk-facts.css,authoritative,2026-09-10,"confirms .sk-facts implemented, native <dl> pattern, no gap"
SRC-014,precedent-mission,"repository-dossier-pattern-stories-01M22WFQ",kitty-specs/repository-dossier-pattern-stories-01M22WFQ/,precedent,2026-09-10,"spec/plan/tasks structure; fixture+stories file placement; WP shape"
SRC-015,precedent-mission,"mission-reading-pattern-stories-01M21HSX",kitty-specs/mission-reading-pattern-stories-01M21HSX/,precedent,2026-09-10,"research.md/data-model.md format; alternatives-rejected table shape"
SRC-016,precedent-mission,"composition-fixture-public-surfaces-01M1Y34S",kitty-specs/composition-fixture-public-surfaces-01M1Y34S/,precedent,2026-09-10,"origin and rationale of scripts/check-pattern-composition.mjs"
SRC-017,repo-doc,"docs/contributing/adding-a-component.md",docs/contributing/adding-a-component.md,authoritative,2026-09-10,"forced-colors/reduced-motion precedent; static/element markup rules"
SRC-018,repo-doc,"CLAUDE.md hard rules",CLAUDE.md,authoritative,2026-09-10,"commit scope enum; LightMode wrapper rule; tokens-first rule"
SRC-019,cli-probe,"git ls-remote for #320/#321/#303 mission branches",n/a,authoritative,2026-09-10,"confirms zero of the three dependency branches exist on origin at mission start"
