source_id,title,source_type,location,authority,accessed_on,scope_and_notes
S-001,"Epic #144: Team overview — stateless dashboard elements for the approved redesign",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/144,Primary product and ownership authority,2026-09-05,"Binding application/library ownership; child component boundary; existing-component reuse; serial shared-artifact integration"
S-002,"Issue #148: Return-over-time bar chart",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/148,Primary mission outcome authority,2026-09-05,"Generic single-series datum; proportional visualization; selection event draft; accessibility/responsive/stories/exit criteria"
S-003,"Team overview — final review v4 approved",Operator-supplied image,/tmp/codex-clipboard-LwdjJW.png,Primary visual evidence subject to generic issue contract,2026-09-05,"1123x1600 PNG; SHA-256 ca08a0cbe1120233a1619d6b58da1bc2b84e3b9edeea41aff24a151321dbef04; four blue bars/value/category labels; secondary green deployment series excluded"
S-004,"Stitch project codex-teamkitty-redesign",Design project,https://stitch.withgoogle.com/projects/10134542414402054345,Named visual source,2026-09-05,"Non-interactive fetch exposed no rendered screen; operator capture S-003 is the directly inspectable evidence"
S-005,"ADR 9: Shadow DOM the Styling API and Label Ownership",Architecture decision,docs/architecture/decisions/2026-09-02-9-shadow-dom-and-styling-api.md,Architecture authority,2026-09-05,"Open shadow root; tokens/parts/documented properties only; no cross-boundary selectors; same-root accessibility relations"
S-006,"ADR 10: Distribution Build Artifacts and Canonical Markup",Architecture decision,docs/architecture/decisions/2026-09-02-10-distribution-and-canonical-markup.md,Accepted architecture authority,2026-09-05,"Real CSS to constructed stylesheet; ESM/IIFE; one authored markup source; guarded registration"
S-007,"ADR 11: Verification Stack for Elements and Generated Wrappers",Architecture decision,docs/architecture/decisions/2026-09-02-11-verification-stack-and-wrapper-generation.md,Architecture and evidence authority,2026-09-05,"Required behavior proofs; meaningful cancellation; Vitest/Playwright split; mutation evidence; generated-wrapper determinism"
S-008,"Adding a component",Repository authoring recipe,docs/contributing/adding-a-component.md,Maintained implementation and gate authority,2026-09-05,"Host display; property/event/part docs; ratchets; generated React; LightMode; full regeneration and gates"
S-009,"Agent guide",Repository instructions,CLAUDE.md,Repository operating authority,2026-09-05,"Elements-first topology; no React hand edits; token-only CSS; story/theme conventions; shared gates"
S-010,"Design token source",Repository source,packages/tokens/src/tokens.css,Canonical design-value source,2026-09-05,"Current palette/tint/border/focus/surface/text tokens; no semantic data-visualization family at inspected revision"
S-011,"Nav-pill element and behavior fixture",Repository source,packages/elements/src/nav-pill/sk-nav-pill.ts,Typed-event and native-control precedent,2026-09-05,"Typed bubbling composed cancelable event; documented public API; behavior/mutation examples"
S-012,"Current manifest and wrapper scripts",Repository source,scripts/normalise-manifest.mjs,Current pipeline evidence,2026-09-05,"Inspected train lacks intentional public property-only classification and reset metadata"
S-013,"PR #171: Flow-health transition matrix",Open dependency PR,https://github.com/spec-kitty/spec-kitty-design/pull/171,Pending shared-pipeline integration source,2026-09-05,"Exact head 3381f8a adds generic AST-derived property-only manifest/React delivery and empty-array removal reset; not yet on train"
S-014,"Behavior and API ratchets",Repository source,behaviours.json,Verification schema evidence,2026-09-05,"Distinct subject and mutation pair obligation; expected parts/docs/stories anti-vacuity registries"
S-015,"Storybook visual test",Repository source,apps/storybook/src/tests/visual.spec.ts,Visual evidence procedure,2026-09-05,"Component-cropped snapshots; CI-authoritative baselines; explicit selector wait; local font metrics are not authority"
S-016,"Adding a design token",Repository authoring recipe,docs/contributing/adding-a-token.md,Token authoring authority,2026-09-05,"Reusable semantic role required; category naming; catalogue regeneration; surface/foreground pairing"
S-017,"Issue #112: Elements conformance matrix",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/112,Authority for the future matrix artifact,2026-09-05,"Open; confirms no machine-readable conformance matrix exists yet and that current behavior registry/floor/mutation gates already exist"
S-018,"Operator decision: bar-chart selection event",Conversation decision,2026-09-05 Codex session,Primary conflict-resolution authority,2026-09-05,"Confirmed sk-bar-chart-select is non-cancelable; supersedes only the cancelable word in issue #148"
