id,source_type,source_ref,title,retrieved_at,notes
SRC-001,issue,https://github.com/spec-kitty/spec-kitty-design/issues/270,"[TKX1] native segmented-choice styles — supplied exclusive views without tab semantics",2026-09-08,"Binding source of truth for this mission's scope. Retrieved via gh issue view 270 --repo spec-kitty/spec-kitty-design."
SRC-002,issue,https://github.com/spec-kitty/spec-kitty-design/issues/269,"Epic: Work Explorer — reusable grouping, native routes, and rail-preserving context",2026-09-08,"Parent epic; confirms Wave 1/2/3 dependency plan and that composition (#275/TKX6) is out of this mission's scope. Retrieved via gh issue view 269 --repo spec-kitty/spec-kitty-design."
SRC-003,adr,docs/architecture/decisions/2026-09-02-10-distribution-and-canonical-markup.md,"ADR 10: Distribution, Build Artifacts, and Canonical Markup",2026-09-08,"Grounds the styles-only classification and the five-component structural-necessity ruling; also the source-of-record for the generated-artifact-never-hand-edited rule (C-002/NFR-006)."
SRC-004,adr,docs/architecture/decisions/2026-09-02-11-verification-stack-and-wrapper-generation.md,"ADR 11: Verification Stack for Elements, and Generated Wrappers",2026-09-08,"Grounds the ADR-11 required-behaviours scoping claim (FR-014/Charter Check) — confirms all 11 items presuppose a shadow root/Lit class/registered element this mission's component does not have."
SRC-005,adr,docs/architecture/decisions/2026-09-02-9-shadow-dom-and-styling-api.md,"ADR 9: Shadow DOM, the Styling API, and Label Ownership",2026-09-08,"Read for context on the shadow-DOM/styling-API boundary this styles-only component sits outside of; not directly cited by an FR/NFR/C but relevant background per the task's read list."
SRC-006,code,packages/styles/src/nav-pill/sk-nav-pill.css,"sk-nav-pill.css — --sk-bg-pill active-item background precedent",2026-09-08,"Source for FR-015/C-004's token-choice precedent (EV-001)."
SRC-007,code,packages/styles/src/skip-link/sk-skip-link.css,"sk-skip-link.css — forced-colors longhand outline-color precedent",2026-09-08,"Source for C-010/NFR-004's forced-colors technique precedent (EV-002)."
SRC-008,code,packages/styles/src/data-table/sk-data-table.css,"sk-data-table.css — forced-colors longhand border-left-color precedent",2026-09-08,"Source for C-010/NFR-004's forced-colors technique precedent (EV-003)."
SRC-009,code,packages/styles/src/form-select/,"sk-form-select styles-only directory (7 .html exemplars, generated index.ts, .stories.ts)",2026-09-08,"Source for the generation-pipeline directory-shape precedent (EV-004, EV-015)."
SRC-010,code,packages/styles/src/disclosure/,"sk-disclosure styles-only directory (4 .html exemplars, generated index.ts, .stories.ts)",2026-09-08,"Source for the generation-pipeline directory-shape precedent (EV-005)."
SRC-011,code,apps/storybook/src/tests/sk-form-select.spec.ts,"sk-form-select.spec.ts — two-test.describe-block Playwright spec shape",2026-09-08,"Source for the SC-003/IC-04 Playwright spec structural pattern precedent (EV-006)."
SRC-012,code,apps/storybook/src/tests/sk-notice-forced-colors.spec.ts,"sk-notice-forced-colors.spec.ts — load-bearing-not-merely-present forced-colors measurement pattern",2026-09-08,"Source for NFR-004's forced-colors verification pattern precedent (EV-007)."
SRC-013,code,apps/storybook/src/tests/sk-context-nav.spec.ts,"sk-context-nav.spec.ts — hover/active/focus-visible computed-style-delta assertion pattern (line 813)",2026-09-08,"Source for FR-009's hover/active pattern citation (EV-008)."
SRC-014,code,apps/storybook/src/tests/sk-transition-matrix.spec.ts,"sk-transition-matrix.spec.ts — positive computed-style-delta assertion pattern (line 312/326, not 285)",2026-09-08,"Source for FR-009's hover/active pattern citation; also the source of the stale-line-number discrepancy (EV-009, EV-010)."
SRC-015,code,apps/storybook/src/tests/sk-bar-chart.spec.ts,"sk-bar-chart.spec.ts — rest/hover/focus/active/selected state-distinctness pattern (line 257)",2026-09-08,"Source for FR-009's hover/active pattern citation (EV-011)."
SRC-016,doc,expected-stories.json,"expected-stories.json — story-id ratchet (shrink-only)",2026-09-08,"Source for the current total (323) baseline and the docs-exclusion/Default-DefaultDark $comment precedents (EV-012, EV-013, EV-014, EV-015)."
SRC-017,doc,stylelint.config.mjs,"stylelint.config.mjs — declaration-strict-value rule config and ignoreValues",2026-09-08,"Source for the forced-colors system-color-keyword allowlist and the unpoliced-shorthand rationale (EV-016, EV-017)."
SRC-018,doc,docs/contributing/adding-a-component.md,"Adding a component (contributor recipe)",2026-09-08,"Source for the CI-authoritative visual-baseline rule (§8) cited by C-009 and plan.md's Gate Enumeration (EV-020)."
SRC-019,doc,docs/architecture/elements-first-programme.md,"elements-first-programme.md — squad cadence tiering and pre-merge-gate rule",2026-09-08,"Source for C-009's 'pre-merge is not tiered' claim and the confirmation that this mission is not enumerated in the M2-M16 tier table (EV-022, EV-023)."
SRC-020,code,scripts/assemble-demo-dist.sh,"assemble-demo-dist.sh — demo-page component-set derivation script",2026-09-08,"Source for C-008/FR-016's no-op grep confirmation (EV-021)."
SRC-021,doc,kitty-specs/work-explorer-segmented-choice-styles-01M20C9F/meta.json,"Mission metadata (topology, target_branch)",2026-09-08,"Source for C-007's delivery-contract confirmation (EV-028)."
SRC-022,doc,kitty-specs/work-explorer-segmented-choice-styles-01M20C9F/spec.md,"Mission Specification: Work Explorer segmented-choice styles",2026-09-08,"PASSED R1-R6; the mission's own binding spec, read in full as the basis for every research question above."
SRC-023,doc,kitty-specs/work-explorer-segmented-choice-styles-01M20C9F/plan.md,"Implementation Plan: Work Explorer segmented-choice styles",2026-09-08,"PASSED down to 3 open low/medium consistency findings (reviews/plan-fresh-2.yaml); read in full and independently re-verified rather than trusted, per this backfill's mandate."
SRC-024,code,packages/tokens/src/tokens.css,"tokens.css — --sk-surface-pill / --sk-bg-pill token declarations",2026-09-08,"Source for the corrected Q3 token-existence check (EV-029); backs the --sk-bg-pill vs --sk-surface-pill decision. Both tokens are live and same-valued in each theme."
SRC-025,code,packages/styles/src/context-nav/sk-context-nav.css,"sk-context-nav.css — GrayText disabled/unavailable-item forced-colors precedent",2026-09-08,"Source for the corrected Q4 check (EV-032); GrayText is used here for the .sk-context-nav__unavailable forced-colors cue, precedent relevant to C-010's six-keyword list omitting it."
