evidence_id,source_ids,finding,decision_or_requirement_supported,confidence,status
E-001,"S-001","The library owns presentation accessibility typed intent and pure render-time derivations; Team Kitty owns fetching domain calculations time routing and selected state.","R-01 R-04 R-07; strict application/library boundary",High,Accepted
E-002,"S-001;S-007;S-022","Child component authored directories are disjoint but generated manifest wrapper and size artifacts overlap; component work integrates serially into the train.","R-15; three serial WPs and one final mission PR",High,Accepted
E-003,"S-002","The transition matrix replaces one-line-per-WP traces with route-by-time aggregates and excludes Current/open-WP inventory.","R-01; bounded fifty-WP behavior and no inventory API",High,Accepted
E-004,"S-002;S-004;S-005","Issue #149 initially called selection cancelable; the later operator decision and reconciled governing spec make the dispatch explicitly non-cancelable because the element has no default action.","R-04; cancelable=false; ADR SC-009 inapplicable",High,Resolved conflict
E-005,"S-004;S-005","Selectable is an affirmative reflected boolean defaulting false and independent of selectedRouteId; selection is controlled and intent does not mutate it.","R-04; positive and negative interaction states",High,Accepted
E-006,"S-003","The supplied image visibly contains six route rows four time columns substantial bars five tone treatments an exceptions/recovery separator and a separate Current/open-WP panel.","R-01 R-05 R-06; approved visual structure and excluded adjacent panel",High,Accepted
E-007,"S-003;S-004;S-005","The approved fixture is six routes using five tones with 24 values route totals 21/17/11/6/4/3 and overall 62; this supersedes issue #149's five-route wording.","ApprovedExample fixture and visual gates",High,Resolved conflict
E-008,"S-004;S-014","General guidance reserves red for validation; the operator approves danger red for blocked routes in this component only.","R-08; narrowly scoped semantic-color exception",High,Resolved exception
E-009,"S-005","The reconciled public contract defines readonly columns/routes five tones optional copy controlled selected id selectable and one typed detail shape; it forbids supplied totals inventory clock and date objects.","R-02 R-03 R-04 R-07; data-model.md",High,Accepted
E-010,"S-006;S-007;S-008","The plan and formal acceptance define fail-closed validation global-max scaling sticky ownership property removal reset exact stories and executable positive/negative gates.","R-01..R-15 implementation handoff",High,Accepted
E-011,"S-009","Open shadow roots make internal classes private; inherited tokens declared parts and documented custom properties are the entire styling API; cross-root ancestor selectors fail silently.","R-08 R-09; tokens/parts only and no theme selector",High,Accepted
E-012,"S-010","CSS must be authored as real CSS and generated into a constructed sheet with zero injected style nodes; markup has one authored source; distribution includes ESM and classic IIFE.","R-10 R-12; generated sheet and canonical render source",High,Accepted
E-013,"S-011;S-021","Applicable behaviors require real browser or node evidence; render-only and shadow snapshots are insufficient; generated output must be deterministic.","R-13; distinct mutation-backed element and React subjects",High,Accepted
E-014,"S-012;S-013","The maintained recipe requires explicit host display documented properties/events/parts generated React ratchets LightMode via .sk-light and full regeneration/drift/a11y gates.","R-09 R-12 R-14",High,Accepted
E-015,"S-014;S-015","Existing tokens provide blue green purple red neutral/surface foreground border focus typography and spacing roles; light theme is token-driven.","R-08; no token addition or cross-shadow theme selector",High,Accepted
E-016,"S-015","Token source contains both default and light-theme overrides for the planned semantic surfaces and palette.","R-07 R-08; theme parity using inherited values",High,Accepted
E-017,"S-011;S-017","The repository has a typed bubbling composed event precedent; ADR-11 requires exact count detail and flags and cancellation proof only where cancellation is declared.","R-04 R-13; typed cross-boundary selection intent",High,Accepted
E-018,"S-009;S-010;S-012;S-016","Current elements adopt generated sheets and expose structural parts; the recipe requires a host box and permits omitting a static markup module when no static form exists.","R-09 R-10",High,Accepted
E-019,"S-018;S-019","At the inspected revision the AST normalizer strips internal state but does not classify intentional public attribute:false fields; the wrapper generator admits observed attributes and protects known internal non-props.","R-11; generic property-only marker prerequisite",High,Accepted
E-020,"S-006;S-019","The existing wrapper has a useProperties delivery path but needs explicit property-only admission and proven empty-array reset behavior to avoid dropped initial values and stale removed props.","R-11; identity delivery replacement and fresh frozen reset",High,Accepted
E-021,"S-020;S-005","The docs gate currently ratchets attributes and methods; property-only fields are public API and require an exact separately counted documented surface.","R-11 R-12; seven properties five attributes two property-only zero methods",High,Accepted
E-022,"S-011;S-021;S-006","Only ADR SC-006 SC-007 SC-008 SC-010 SC-013 and SC-014 apply to the element; only SC-006 and SC-010 apply to the distinct React subject.","R-13; exclude cancellation slots escape/focus-return and per-element registry guard",High,Accepted
E-023,"S-006;S-007;S-008","The final integration requires rebase/regeneration complete local gates one draft PR CI-authoritative visual and mutation timing evidence and exact-final-SHA review.","R-15; shared-artifact and evidence risks remain execution concerns",High,Accepted
