evidence_id,source_ids,finding,decision_or_requirement_supported,confidence,status
E-001,"S-001","Outcome states: add a styles-only .sk-progress family composing a labelled native <progress>; 'No custom element ships.'","R-01; no packages/elements/src/progress directory",High,Accepted
E-002,"S-011","build-styles-only-markup.mjs derives its styles-only component set by scanning packages/styles/src for a directory with a .css file and no matching packages/elements/src/<name> directory; there is no allowlist to edit.","R-01; the barrel generator needs no code change to pick up a new progress directory",High,Accepted
E-003,"S-007;S-008;S-009;S-010","disclosure, skip-link, data-table, facts and empty-state are all live precedent for a styles-only component with generated per-state HTML fixtures and no element.","R-01; same authoring shape applies to sk-progress",High,Accepted
E-004,"S-001","Contract and states section: consumer supplies value, max, label and visible metadata; 'CSS performs no arithmetic and generates no text'; invalid negative/over-max data remains consumer validation.","R-01; R-02; R-07 (fixture list read literally)",High,Accepted
E-005,"S-001","Non-goals list explicitly excludes 'a custom sk-progress element' alongside progress calculation, timers, indeterminate loading, stepper, task data, completion animation, status tone.","R-01",High,Accepted
E-006,"S-003;S-004","<progress>'s implicit progressbar role and aria-valuenow/valuemin/valuemax derive from its own value/max attributes; ADR-9's cross-shadow-root label findings (arrangements C/D failing axe) concern shadow-DOM ID resolution specifically and do not apply to a component with no shadow root.","R-01; R-03; R-04",High,Accepted
E-007,"S-001;S-011","The representative markup structure in #210's issue body is the exact three-child shape (label, progress, span.meta) the styles-only barrel generator will read from authored .html fixtures.","R-01",High,Accepted
E-008,"S-001","'CSS performs no arithmetic and generates no text' and 'Invalid negative/over-max domain data remains consumer validation' are both direct quotes from #210.","R-02",High,Accepted
E-009,"S-001","'Fixture assertion that supplied visible percentage matches the same raw numerator/denominator used by <progress>' is listed under Required stories and tests, i.e. a test-authored check across fixtures, not a runtime component guarantee.","R-02",High,Accepted
E-010,"S-003;S-004","ADR-9 section 4's cross-root ID lookup findings and ADR-10's 'cross-root ID references do not resolve' reason both concern shadow-DOM-scoped getRootNode() lookups; a light-DOM-only for/id pair is unaffected by either.","R-03",High,Accepted
E-011,"S-001","The representative markup places distinct text inside <progress>...</progress> (fallback content) and inside a sibling span.sk-progress__meta (visible styled metadata); WHATWG HTML defines <progress> fallback content as rendered only by non-supporting user agents, not exposed as the accessible name in a conforming browser.","R-04",Medium,Accepted
E-012,"S-006","docs/contributing/adding-a-component.md's Forced-colors and reduced-motion baselines section documents that border/outline survive forced-colors automatically while background/background-color and box-shadow do not, and names the established override shape (explicit system-color keyword on the longhand property).","R-05",High,Accepted
E-013,"S-008;S-009","sk-skip-link.css overrides outline-color to Highlight under forced-colors for a focus ring; sk-data-table.css overrides border-left-color to Canvas/CanvasText under forced-colors because background flattens to Canvas regardless of authored value — both are the established shape for a background-drawn affordance that must remain visible.","R-05",High,Accepted
E-014,"S-012","stylelint.config.mjs's ignoreValues list already contains Canvas, CanvasText, Highlight, HighlightText, ButtonText, LinkText — an explicit background-color: Highlight override in a forced-colors block needs no new stylelint configuration.","R-05",High,Accepted
E-015,"S-007;S-008","sk-disclosure.css and sk-skip-link.css both scope their prefers-reduced-motion block to transition: none on the exact selector/property they set elsewhere in the same file, matching the recipe's warning against a reduced-motion guard that disables a property nothing in the file sets.","R-06",High,Accepted
E-016,"S-001","'Compact/inline and stacked narrow arrangements preserve the same native element and label' is a direct quote from #210's contract and states section.","R-07",High,Accepted
E-017,"S-001","Required stories and tests lists exactly: zero, T10 5/8, complete, large total, long label, compact and narrow, forced colors, default dark, and required LightMode — nine named states read literally, none merged or invented.","R-07",High,Accepted
E-018,"S-013","Grepping packages/tokens/src/tokens.css for 'progress' returns zero matches at the inspected revision; no existing progress-specific token exists to reuse or collide with.","R-08",High,Accepted
E-019,"S-014","apps/demo/dashboard-demo.html's existing .dash-progress-* rules already draw on --sk-surface-input (track) and --sk-color-yellow (fill) plus --sk-radius-pill and --sk-space-2, confirming the existing token families already cover a progress-bar visual without a new category.","R-08",High,Accepted
E-020,"S-001;S-002","Neither #210's non-goals list nor its dependencies/outcome sections mention apps/demo/dashboard-demo.html; #208 assigns 'approved composition and route-state fixtures' to TKW6 (#214), sequenced in wave 3 after TKW1-TKW5.","R-09",High,Accepted
E-021,"S-002","#208's dependency plan places TKW2 (#210, this mission) in wave 1 alongside TKW1/TKW3/TKW4/TKW5, all independent and parallel; TKW6 explicitly comes after them in wave 3.","R-09",High,Accepted
E-022,"S-015","ci-quality.yml's components path filter already includes the blanket 'packages/**' entry (added specifically so no package directory is enumerated by hand); a new packages/styles/src/progress/ directory needs no filter update.","R-09",High,Accepted
E-023,"S-004","ADR-10's own 'Neutral' consequence records that WebKit/WebKitGTK remains unverified locally in this repository's environment for a prior mission's spike, independent of this component.","Open question 2 (cross-browser pseudo-element coverage)",Medium,Accepted
E-024,"S-005","ADR-11's required-behaviours list (form association, event contract, slots, focus/keyboard, styling API parts, style adoption, registry guard) is scoped to elements that own behaviour; a styles-only component with no element and no JavaScript owns none of these subjects and registers nothing in behaviours.json.","R-01; confirms ADR-11 verification-stack applicability is limited to the standard Storybook/axe/visual gates for this component",High,Accepted
