evidence_id,source_ids,finding,decision_or_requirement_supported,confidence,status
E-001,"S-001","The design library owns presentation accessibility typed intent and pure render-time scale; Team Kitty owns fetching domain calculations date/window text selected application state and actions.","R-01 R-03 R-05 R-09; strict application/library boundary",High,Accepted
E-002,"S-002","The public datum is a stable-id single-series value with consumer-formatted display text; the element never parses format or computes spend/time windows.","R-01 R-02 R-03 R-09; BarDatum and series model",High,Accepted
E-003,"S-002","Every datum needs persistent visual and accessible label/value; presentational mode has no tab stops; selected/focus state is visible and not color-only; narrow labels retain bar ownership.","R-04 R-05 R-06 R-11; accessibility and responsive tests",High,Accepted
E-004,"S-002;S-003","The approved visual uses a zero baseline restrained grid equal-width blue bars and persistent value/date labels; green deployment markers are a second measure excluded by the single-series issue contract.","R-03 R-06 R-07 R-09; approved fixture and exclusions",High,Accepted
E-005,"S-002;S-007;S-018","Issue #148 declared a cancelable controlled event but ADR-11 requires preventDefault to stop an observable element default action; controlled selection provides none, so the operator confirmed cancelable false.","RD-001; non-cancelable event and SC-009 inapplicable",High,Resolved conflict
E-006,"S-005;S-006;S-008","A structured-data component uses open shadow DOM token/part styling one real CSS source and a generated constructed sheet; a static markup module is optional when no honest static form exists.","R-07 R-08 R-09",High,Accepted
E-007,"S-007;S-011;S-014","Event count/detail/boundary native keyboard/focus declared parts sheet identity and property upgrade are applicable behavior obligations; render-only assertions are insufficient.","R-05 R-11; mutation-backed verification",High,Accepted
E-008,"S-001;S-002;S-018","selectedId is consumer-controlled, activation may emit intent but must not mutate the selected application value, and the resulting notification is non-cancelable.","R-05; controlled non-cancelable intent",High,Accepted
E-009,"S-002","Zero equal widely varying empty and missing series all require deliberate renderings; malformed inputs need a conservative non-fabricating policy.","R-02 R-03; data-model failure table",Medium,Accepted conservative resolution
E-010,"S-012;S-013","The current train drops intentional attribute:false public fields from wrappers; open PR #171 introduces a generic property-only marker and empty-array reset through the production generator seam.","R-01 R-10 R-12; final wrapper work waits for #171",High,Accepted integration dependency
E-011,"S-006;S-008","Canonical markup means one authored source; generated CSS modules manifest wrappers and size output must regenerate and be committed, never hand-edited.","R-08 R-12; generated artifact workflow",High,Accepted
E-012,"S-001;S-013","Authored child component sources are disjoint while generated artifacts are shared; final integration is serial and every waiting PR rebases/regenerates on current train.","R-10 R-12; no cherry-pick or duplicate generic pipeline",High,Accepted
E-013,"S-002;S-010;S-016","The issue requires semantic data-visualization tokens; current tokens expose reusable sky/tint/border/focus values but no data role names.","R-07; add semantic aliases rather than raw or component-named colors",High,Accepted
E-014,"S-007;S-008;S-014;S-015","Completion requires behavior/type/manifest/wrapper drift axe browser and CI-authoritative cropped visual evidence with anti-vacuity ratchets and source-break mutations.","R-11 R-12; exact gate inventory",High,Accepted
E-015,"S-001;S-002;S-013","#148 can implement disjoint authored sources before #149 merges, but its property-only React contract and exact final gate cannot close on the inspected train.","R-10 R-12; explicit blocked final-integration boundary",High,Accepted
E-016,"S-002;S-014;S-017","#148 requests a conformance-matrix entry, but #112 remains open and no matrix artifact exists; behavior/mutation and API/story ratchets are the only truthful current registration surfaces.","R-11; register current subjects and disclose deferred matrix row",High,Accepted repository-state resolution
