evidence_id,source_ids,finding,decision_or_requirement_supported,confidence,status
E-001,"S-001","#209 names exactly .sk-workflow-board/__scroller and .sk-workflow-lane/__header/__title/__count/__list as two token-only styles families over consumer-authored native HTML.","Scope; R-01",High,Accepted
E-002,"S-001","#209 requires native section lanes named by native headings and native ol/li work-item lists; it explicitly rejects an ARIA grid for the read-only overview.","Scope; R-02",High,Accepted
E-003,"S-001;S-002","Consumers own lane labels, counts, order, item markup, tone, mobile state, lane definitions, routing, and data; the library owns token-driven presentation and accessibility mechanics only.","Scope; R-04; R-07; R-08",High,Accepted
E-004,"S-001;S-013","#209 says no custom element ships; ADR-10 defines native-semantics styling as a deliberate styles-only class rather than an exception.","R-01",High,Accepted
E-005,"S-003;S-013","#92 measured that a custom-element host between a list and li breaks both list and listitem semantics; ADR-10 carries the unbroken parent/child relationship into its styles-only ruling.","R-01; R-02",High,Accepted
E-006,"S-006;S-012;S-019","#146 requires consumer-authored native ul/li around sk-action-row; ADR-9 prohibits cross-shadow selectors; current action-row tests assert its consumer-authored li ownership remains native.","R-02; R-06",High,Accepted
E-007,"S-001","#209 requires the board scroller—not the page—to own horizontal overflow and says role=region, an accessible name, and tabindex=0 appear only when the rendered composition genuinely overflows.","R-03; planning risk 2",High,Accepted
E-008,"S-007;S-017","The shipped data-table scroller documents a measured two-branch rule: a genuinely overflowing scroller needs the role/name/tabindex triad, while the same triad on non-overflow content creates a dead tab stop and duplicate landmark.","R-03; planning risk 2",High,Accepted
E-009,"S-001;S-007;S-018","#209 requires explicit empty lanes without recreating empty state; #176 and the current empty-state source establish a consumer-copy presentational primitive with no application behavior.","R-05",High,Accepted
E-010,"S-001;S-010;S-011","#212 owns .sk-empty-state--inline and says it invents no copy/announcement/action; #214 owns the final integrated T10 empty-lane composition after #209-#213 land.","R-05; scope boundary",High,Accepted
E-011,"S-023","The direct T10 Stitch project request returned only the generic unauthenticated Stitch application shell; no screen payload or approved pixel measurements were accessible.","Authority limitation; planning risk 1",High,Accepted
E-012,"S-001;S-016","#209 transcribes T10's five-lane/overflow/empty-state intent and is binding; the checked-in demo independently confirms a five-column board and page-local .dash-board/.dash-lane gap but uses non-semantic div markup and domain tone.","Authority resolution; R-08",High,Accepted
E-013,"S-005;S-020;S-021","PR #172 introduced the styles-only barrel generator; it auto-discovers CSS-without-element directories, while root styles exports and package subpaths remain explicit per component directory.","R-01; distribution work",High,Accepted
E-014,"S-008;S-013;S-014;S-020","Merged #210/PR #222 demonstrates the styles-only artifact path: authored CSS/HTML, generated barrel, package wiring, Storybook/axe/Playwright/visual evidence, with no element/manifest/React/behavior subject.","R-01; R-04; verification",High,Accepted
E-015,"S-014;S-015","ADR-11 behavior subjects apply to elements owning form/event/focus/slot/style-adoption behavior; the recipe says a purely presentational component adds no behavior registration.","R-01",High,Accepted
E-016,"S-001;S-003;S-006","#209 requires accessibility-tree assertions for native list count/order; #92 proves visual correctness does not imply list correctness, and #146 preserves native li ownership outside action-row.","R-02; semantic test obligation",High,Accepted
E-017,"S-001;S-017","The preferred board region name is consumer supplied and visible; the data-table precedent shows role/name/tabindex must track measured overflow rather than class presence or assumed viewport size.","R-03",High,Accepted
E-018,"S-001;S-015;S-017","#209 requires keyboard-reachable overflow and no page-level sideways scroll; the recipe/data-table precedent supplies a focus-visible outline and records that border/outline survive forced-colors UA remapping.","R-03; R-10",High,Accepted
E-019,"S-001;S-008","#209 assigns labels/counts/order/items to the consumer; merged #210 demonstrates fixture-level consistency checks for repeated supplied values without adding runtime derivation.","R-04",High,Accepted
E-020,"S-006;S-010;S-012;S-019","#212 alone owns action-row layout=card and forbids status-toned rows; #146/action-row own activation/selection; ADR-9 forbids lane CSS reaching into the item's shadow tree.","R-06; scope boundary",High,Accepted
E-021,"S-001;S-009;S-011","#209 says the single-lane composition follows a consumer-controlled #211 selector; #211 owns native select presentation/state seam and #214 owns the integrated route-state fixture.","R-07",High,Accepted
E-022,"S-001;S-002","#209's source is independent of #211/#212 and #208 places TKW1 in parallel wave 1; only the integrated composition waits for #214's downstream wave.","R-07; dependency boundary",High,Accepted
E-023,"S-001;S-002;S-015;S-016","#209 forbids lane-name vocabulary/tone ownership and requires forced-color boundaries; the demo's planned/doing/review/approved/done tone selectors are app-local evidence, while the recipe says structural border/outline cues survive forced colors.","R-08; R-10",High,Accepted
E-024,"S-001;S-010;S-022","Horizontal multi-lane overflow requires a meaningful lane lower bound and #212 tests item layouts at 220–360px; the current token inventory has no semantically valid workflow-lane minimum-inline-size token.","R-09; planning token calibration",High,Accepted
E-025,"S-008;S-015;S-016;S-022","The recipe requires all design values to use authoritative tokens. The demo uses raw 200px/1px/2px/10px/0.06em and merged progress uses raw bar dimensions; neither overrides #209's explicit token-only contract.","R-09",High,Accepted
E-026,"S-001;S-008;S-015","#209 makes lane transitions a non-goal and requires dark/LightMode/forced-colors evidence; the recipe rejects reduced-motion guards with no owned transition and requires a real class=sk-light computed-style difference.","R-10",High,Accepted
