source_id,title,source_type,location,authority,accessed_on,scope_and_notes
S-001,"Epic #144: Team overview — stateless dashboard elements for the approved redesign",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/144,Primary product and ownership authority,2026-09-04,"Binding library/application ownership; controlled state; existing-component reuse; child boundaries; both-theme and shared-artifact coordination"
S-002,"Issue #149: Flow-health transition matrix",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/149,Primary mission outcome authority,2026-09-04,"Aggregate route/time-bucket model; visual and accessibility contract; initial event and five-route wording later reconciled by operator decisions"
S-003,"Team overview — final review · clean v4",Operator-supplied image,/tmp/codex-clipboard-LwdjJW.png,Primary visual evidence for recorded Flow-health facts,2026-09-04,"1240x1600 export inspected directly; six routes; four columns; five tones; 62 moves; adjacent Current panel is composition-only; attachment path is session-local and durable facts are transcribed into spec.md"
S-004,"Resolved operator decisions RD-001 through RD-006",Mission specification,kitty-specs/flow-health-transition-matrix-01M1PGNJ/spec.md#resolved-operator-decisions,Primary conflict-resolution authority,2026-09-04,"Selectable opt-in; non-cancelable controlled intent; clean-v4 authority; blocked-red exception; consumer copy; generic property-only seam"
S-005,"Mission specification: Flow-health transition matrix",Mission artifact,kitty-specs/flow-health-transition-matrix-01M1PGNJ/spec.md,Governing reconciled requirements,2026-09-04,"FR-001..FR-024; NFR-001..NFR-010; C-001..C-010; stories; success criteria; out-of-scope boundary"
S-006,"Implementation plan: Flow-health transition matrix",Mission artifact,kitty-specs/flow-health-transition-matrix-01M1PGNJ/plan.md,Governing technical plan,2026-09-04,"Exact public contract; data flow; accessibility; property-only seam; files; generated artifacts; gates; risk controls"
S-007,"Tasks and WP01-WP03 prompts",Mission artifacts,kitty-specs/flow-health-transition-matrix-01M1PGNJ/tasks.md,Execution authority,2026-09-04,"Three serial implementation/review boundaries; one mission branch and one final PR"
S-008,"Formal acceptance matrix",Mission artifact,kitty-specs/flow-health-transition-matrix-01M1PGNJ/acceptance-matrix.json,Formal observable verification inventory,2026-09-04,"49 positive criteria and 11 negative invariants at inspected revision"
S-009,"ADR 9: Shadow DOM the Styling API and Label Ownership",Architecture decision,docs/architecture/decisions/2026-09-02-9-shadow-dom-and-styling-api.md,Architecture authority,2026-09-04,"Open shadow DOM; tokens/parts/documented custom properties only; no cross-boundary selectors; accessibility relationship evidence"
S-010,"ADR 10: Distribution Build Artifacts and Canonical Markup",Architecture decision,docs/architecture/decisions/2026-09-02-10-distribution-and-canonical-markup.md,Accepted architecture authority,2026-09-04,"Real CSS to constructed stylesheet; ESM/IIFE distribution; sole authored markup source; guarded registration"
S-011,"ADR 11: Verification Stack for Elements and Generated Wrappers",Architecture decision,docs/architecture/decisions/2026-09-02-11-verification-stack-and-wrapper-generation.md,Architecture and evidence authority,2026-09-04,"Applicable behavior tests; Vitest/Playwright layers; non-vacuous gates; generated wrapper determinism"
S-012,"Adding a component",Repository authoring recipe,docs/contributing/adding-a-component.md,Maintained implementation and gate authority,2026-09-04,"Host display; canonical CSS/markup; JSDoc; ratchets; generated React; LightMode; complete gate order"
S-013,"Component Authoring Rules",Repository-local skill rule,skills/spec-kitty-design/rules/component-authoring.md,Repository authoring guidance,2026-09-04,"Required stories; published API documentation; behavior registry/mutation obligations"
S-014,"Visual Identity Rules",Repository-local skill rule,skills/spec-kitty-design/rules/visual-identity.md,General visual guidance subject to issue-specific override,2026-09-04,"Token-only CSS; semantic pairs; five palette roles; red normally reserved for validation"
S-015,"Design token source",Repository source,packages/tokens/src/tokens.css,Canonical design-value source,2026-09-04,"Existing dark/light surfaces foregrounds borders spacing type focus and five-tone palette; no new token required by plan"
S-016,"Grid element and styles",Repository source,packages/elements/src/grid/sk-grid.ts,Implementation precedent,2026-09-04,"Explicit host box; constructed stylesheet; structural public part"
S-017,"Nav-pill element",Repository source,packages/elements/src/nav-pill/sk-nav-pill.ts,Typed event precedent,2026-09-04,"Typed @fires documentation; bubbling composed CustomEvent; shared keyboard/action handling precedent"
S-018,"Manifest normalizer",Repository source,scripts/normalise-manifest.mjs,Current pipeline evidence,2026-09-04,"TypeScript AST handling for Lit state and fail-closed shapes; no property-only marker at inspected revision"
S-019,"React wrapper generator",Repository source,scripts/build-react-wrappers.mjs,Current pipeline evidence,2026-09-04,"Narrows wrapper fields to observed attributes; internal non-prop safeguard; existing useProperties path"
S-020,"Manifest content gate and docs ratchet",Repository source,scripts/check-manifest-content.mjs,Current gate evidence,2026-09-04,"Counts documented attributes/methods only at inspected revision; planned exact property count extension"
S-021,"Behavior registry and mutation registry",Repository source,behaviours.json,Current verification schema evidence,2026-09-04,"ADR behavior ids and distinct subject-file model; every declared pair creates a mutation obligation"
S-022,"Issue traceability matrix",Mission artifact,kitty-specs/flow-health-transition-matrix-01M1PGNJ/issue-matrix.json,Scope traceability evidence,2026-09-04,"#144/#149 in mission; #150 composition deferred; #76 precedent already verified"
