source_id,title,source_type,location,authority,accessed_on,scope_and_notes
S-001,"Issue #210: [TKW2] native progress styles — accessible completion over real <progress>",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/210,Primary mission outcome and binding contract authority,2026-09-06,"Outcome; representative markup structure; contract and states; required stories and tests; dependencies; non-goals. Read live via gh, not from cache."
S-002,"Epic #208: Work Package views — reusable overview and execution-detail components",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/208,Primary programme ownership and boundary authority,2026-09-06,"Binding ownership boundaries; programme requirements and exit criteria; child-issue wave sequencing (TKW1-TKW6); non-goals. Read live via gh."
S-003,"ADR 9: Shadow DOM, the Styling API, and Label Ownership",ADR,docs/architecture/decisions/2026-09-02-9-shadow-dom-and-styling-api.md,Accepted architectural authority,2026-09-06,"Cross-root ID resolution findings (arrangements C/D); confirms these apply only where a shadow root exists, which sk-progress does not have."
S-004,"ADR 10: Distribution, Build Artifacts, and Canonical Markup",ADR,docs/architecture/decisions/2026-09-02-10-distribution-and-canonical-markup.md,Accepted architectural authority,2026-09-06,"Styles-only component class ruling (native-semantics wrapper has nothing to add); four reasons a wrapper cannot exist for this class; form-field precedent."
S-005,"ADR 11: Verification Stack for Elements, and Generated Wrappers",ADR,docs/architecture/decisions/2026-09-02-11-verification-stack-and-wrapper-generation.md,Proposed architectural authority,2026-09-06,"Required-behaviours list applies to elements that own behaviour; confirms sk-progress registers none, since it owns no behaviour."
S-006,"docs/contributing/adding-a-component.md",Contributor recipe,docs/contributing/adding-a-component.md,Maintained authoring recipe,2026-09-06,"Forced-colors and reduced-motion baselines section; styles-only component authoring path; :host guidance not applicable (no element)."
S-007,"packages/styles/src/disclosure/sk-disclosure.css",Source code,packages/styles/src/disclosure/sk-disclosure.css,Precedent implementation,2026-09-06,"Reduced-motion transition guard shape; forced-colors marker/focus-ring findings; CHILD-combinator [open] rule pattern."
S-008,"packages/styles/src/skip-link/sk-skip-link.css",Source code,packages/styles/src/skip-link/sk-skip-link.css,Precedent implementation,2026-09-06,"Reduced-motion transition guard; forced-colors outline-color override to Highlight, longhand not shorthand."
S-009,"packages/styles/src/data-table/sk-data-table.css",Source code,packages/styles/src/data-table/sk-data-table.css,Precedent implementation,2026-09-06,"background/background-color flattening to Canvas under forced-colors; border-based substitute pattern; explicit system-color override shape."
S-010,"packages/styles/src/facts/index.ts and sk-facts-html.stories.ts",Source code,packages/styles/src/facts/,Precedent implementation,2026-09-06,"Generated styles-only barrel shape; per-state fixture file convention; LightMode story wrapper convention (class=\"sk-light\")."
S-011,"scripts/build-styles-only-markup.mjs",Source code,scripts/build-styles-only-markup.mjs,Generator/gate authority,2026-09-06,"Confirms styles-only component set is auto-derived (css present, no matching packages/elements dir) with no allowlist to update."
S-012,"stylelint.config.mjs ignoreValues list",Source code,stylelint.config.mjs,Gate configuration authority,2026-09-06,"Confirms Canvas/CanvasText/Highlight/HighlightText/ButtonText/LinkText are already allowlisted system-color keywords; no new stylelint config change needed for the forced-colors fill override."
S-013,"packages/tokens/src/tokens.css",Source code,packages/tokens/src/tokens.css,Token inventory authority,2026-09-06,"Grepped for 'progress': zero occurrences. Confirms no pre-existing progress-specific token and no naming collision."
S-014,"apps/demo/dashboard-demo.html",Source code,apps/demo/dashboard-demo.html,Motivating-gap evidence,2026-09-06,"Existing .dash-progress-* app-local implementation cited in #210's own Evidence section; confirms the token palette already used (surface-input, color-yellow) and that this mission does not touch this file (R-09)."
S-015,".github/workflows/ci-quality.yml components path filter",CI configuration,.github/workflows/ci-quality.yml,Gate configuration authority,2026-09-06,"Confirms 'packages/**' already covers a new packages/styles/src/progress/ directory; no filter update required."
