evidence_id,source_ids,finding,decision_or_requirement_supported,confidence,status
E-001,"S-001","Outcome states: a real <progress class=""sk-progress__bar""> with no value attribute; no ARIA invented; three-flat-children order preserved exactly; __meta becomes optional and its absence is a supported tested state.","R-02; R-03",High,Accepted
E-002,"S-008","packages/styles/src/progress/sk-progress.css's own header comment: 'No shadow root: this component has no custom element (styles-only, ADR-10's Styles-only components are a class... section), so no :host rule applies here.'","R-01",High,Accepted
E-003,"S-008","Direct grep of sk-progress.css for :host, ::slotted, container-type, and ::part returns zero matches.","R-01",High,Accepted
E-004,"S-001; S-004","#306 discharges #210's explicit 'indeterminate loading' non-goal on #210's own terms: same three children, same modifier-class mechanism already used for --compact/--narrow.","R-02",High,Accepted
E-005,"S-001; S-003","Side-by-side reading of #306's 'exposed as a progress indicator... no ARIA invented' against #305's 'owns no announcement... the accessible name is the supplied one in both states' shows opposite accessibility postures: exposed widget vs. presentational-only.","R-00 (ruling: two independent cues)",High,Accepted
E-006,"S-007; S-010","ADR-15 and adding-a-component.md's Composing-another-component's-stylesheet mechanism both presuppose a shadow-DOM element adopting a sheet; no analogue exists for a light-DOM-only family (sk-progress) handing a fragment to a shadow-DOM element (sk-button).","R-00 (composition-model incompatibility)",High,Accepted
E-007,"S-001; S-003","#306's track is sized for its own labelled row (120px x 4px default / --narrow fill); #305 requires a cue that fits inside a --sm/--icon button with zero measured layout shift — different shape/sizing regimes.","R-00 (shape/sizing incompatibility)",High,Accepted
E-008,"S-001; S-005; S-006","#306 names UA-supplied indeterminate rendering divergence as its dominant, explicit risk, citing #119 and #136 as this repository's own precedent for undiscovered engine-specific defects in adjacent territory; #305 names no such risk because its cue, as specified, is not a native-rendered element.","R-00 (do not import #306's cross-engine risk into #305)",High,Accepted
E-009,"S-001","#306's non-goals list: 'a spinner glyph for general use.'","R-00 (both issues default to no shared spinner)",High,Accepted
E-010,"S-003","#305's non-goals list: 'a general-purpose spinner component (unless the TKT6 pairing decision explicitly rules for one, in which case it is delivered where that decision says).'","R-00 (both issues default to no shared spinner; only an explicit ruling for sharing overrides it, and the evidence argues against sharing)",High,Accepted
E-011,"S-007","ADR-15's ruling covers exactly three (plus one deferred) shadow-DOM CSS construct kinds, all presupposing a :host rule or a ::part()-reaching sheet; none apply to a component with no shadow root at all.","R-01",High,Accepted
E-012,"S-001; S-009","sk-progress.spec.ts's 'every maintained fixture keeps its visible meta text consistent with its own value/max pair' test parses every barrel export generically, asserting Number.isFinite(value) and a \d+% meta pattern for each — this fails on any fixture with no value attribute and no percentage meta.","R-03",High,Accepted
E-013,"S-009","The same test file's readFixtures/parseFixture helpers are shared infrastructure the plan/tasks phase must scope (not remove), since they still correctly police the existing determinate fixtures.","R-03",High,Accepted
E-014,"S-011; S-012","playwright.config.ts declares chromium/firefox/webkit projects; ci-quality.yml's playwright job runs npx playwright test with no --project filter after installing all three engines with --with-deps — this is the only CI job that exercises WebKit.","R-04",High,Accepted
E-015,"S-012","ci-quality.yml's test (behaviour) job installs only chromium and webkit (no firefox) via 'playwright install --with-deps chromium webkit' — a different, narrower matrix than the playwright job's three engines; the playwright job, not the test job, is the mechanism for #306's three-engine claim.",R-04,High,Accepted
E-016,"S-012","ci-quality.yml's visual-regression job runs 'npx playwright test apps/storybook/src/tests/visual.spec.ts --project=chromium' only, with an inline comment recording that firefox/webkit visual baselines were never generated and the enforced VR gate is chromium-only 'for now.'","R-04 (do not add cross-browser pixel baselines here)",High,Accepted
E-017,"S-007","ADR-15's own measurement section records 'WebKit could not be measured — webkit.launch() fails on this host' as an already-recorded, unchanged gap, not newly introduced.","R-04 (local WebKit gap is pre-existing, CI is authoritative)",High,Accepted
E-018,"S-012","ci-quality.yml's inline comment explicitly frames the chromium-only VR policy as a deliberate, already-made repository decision ('for now'; 'baseline refresh across... [not part of this mission]'), not an open question this mission should resolve.","R-04",High,Accepted
E-019,"S-001","#306's binding requirement: 'Under prefers-reduced-motion: reduce the animation stops while the track stays visibly present as activity — it must not fall back to a full or empty bar.'","R-05",High,Accepted
E-020,"S-008","The existing determinate sk-progress.css already resets the vendor pseudo-element surface (appearance: none; ::-webkit-progress-bar; ::-webkit-progress-value; ::-moz-progress-bar) to take rendering control away from the UA default — the same surface the indeterminate variant's authored animation would target.","R-05",High,Accepted
E-021,"S-008; S-010","The existing forced-colors block overrides only a single static fill color to Highlight; adding-a-component.md's forced-colors section provides the general technique but no repository precedent measures an animated fill under forced-colors at more than one frame.","R-06",Medium,Accepted (flagged as open risk)
E-022,"S-013","Issue #286's rule and evidence table are scoped entirely to a custom element's render() output; its own acceptance criteria explicitly exclude *.markup.ts documentation-fixture strings as a different concern.","R-07",High,Accepted
E-023,"S-008","sk-progress.css has no custom element, no render() method, and (grepped directly) no ::before/::after content declaration carrying literal text of any kind.","R-07",High,Accepted
E-024,"S-014; S-015","#308 (sk-confirm-dialog, a JS-bearing custom element with a real render() and a no-defaults-anywhere copy rule) is the shape that needed a red-first no-literal test; #302 (sk-pill-tag, decoration with no inferred meaning) reasoned out of one on its own merits — sk-progress's structural shape (no render() at all) matches #302's reasoning pattern more closely than #308's defect class.","R-07",High,Accepted
