source_id,source_type,title,location,authority,accessed_at,scope
SRC-001,github-issue,"Issue #265: Mission Reading pattern stories",https://github.com/spec-kitty/spec-kitty-design/issues/265,binding,2026-09-09,"composition; M1-M8; fixture integrity; accessibility; non-goals"
SRC-002,github-issue,"Epic #263: Mission Reading",https://github.com/spec-kitty/spec-kitty-design/issues/263,binding-programme,2026-09-09,"child sequencing and epic completion"
SRC-003,ux-evidence,"Approved Mission Reading family",/home/jeroennouws/dev/team-kitty-missions/ux_redesign/mission-reading/,binding-product-evidence,2026-09-09,"README; design; capability map; issue audit; screen matrix; every review; M1-M8 HTML/PNG/artifact manifests"
SRC-004,git-revision,"Current design train",86058d912313360d78cdbcf66cbc4b034389a7b4,authoritative,2026-09-09,"mission base; landed #254 #256 #264 contracts"
SRC-005,git-revision,"Current Team Kitty main",df5dd312019d683716976fe7833c30d8a3f0e0cb,authoritative-consumer,2026-09-09,"current catalogue; pushed-marker; fragment; artifact; Ops; observed/live capabilities"
SRC-006,repository-doc,"ADR 9: Shadow DOM and styling API",docs/architecture/decisions/2026-09-02-9-shadow-dom-and-styling-api.md,binding,2026-09-09,"public styling seams and no shadow reach-through"
SRC-007,repository-doc,"ADR 10: Distribution and canonical markup",docs/architecture/decisions/2026-09-02-10-distribution-and-canonical-markup.md,binding,2026-09-09,"native light-DOM semantics and generated artifact ownership"
SRC-008,repository-doc,"ADR 11: Verification stack",docs/architecture/decisions/2026-09-02-11-verification-stack-and-wrapper-generation.md,binding,2026-09-09,"browser behavior; generation; mutation applicability"
SRC-009,repository-doc,"Adding a component",docs/contributing/adding-a-component.md,binding,2026-09-09,"current generation order; stories; axe; build; visual gates"
SRC-010,repository-source,"Existing pattern conventions",packages/elements/src/patterns/,precedent,2026-09-09,"deep-frozen fixtures; pure selectors; pattern-owned layout; story taxonomy"
SRC-011,repository-gate,"Pattern composition boundary",scripts/check-pattern-composition.mjs,binding-gate,2026-09-09,"no private root reach-through or duplicated component CSS"
SRC-012,github-issues,"Landed public surfaces #145 #146 #176-#178 #213 #254 #256 #259 #264",https://github.com/spec-kitty/spec-kitty-design/issues,dependency-contracts,2026-09-09,"shell; navigation; content; status; native semantics; composition proof"
SRC-013,github-issue,"Issue #255: Repository Dossier pattern stories",https://github.com/spec-kitty/spec-kitty-design/issues/255,parallel-coordination,2026-09-09,"no active PR; coordinate through rebase and regeneration"
SRC-014,repository-governance,"Project charter",.kittify/charter/charter.md,binding,2026-09-09,"tokens; LightMode; accessibility; visual; review and train-only merge policy"
