id,claim,source_file,source_line_or_section,verified,notes
EV-001,"sk-nav-pill.css uses --sk-bg-pill as the active-item background fill",packages/styles/src/nav-pill/sk-nav-pill.css,"lines 39-50, 128-143 (.sk-nav-pill__item--active and slotted/hover variants)",yes,"Four occurrences of background: var(--sk-bg-pill); confirms FR-015/C-004's precedent claim exactly."
EV-002,"sk-skip-link.css's forced-colors block uses the longhand outline-color: Highlight, never the outline shorthand",packages/styles/src/skip-link/sk-skip-link.css,"lines 67-77 (@media (forced-colors: active) block)",yes,"Matches C-004/C-010's cited technique exactly."
EV-003,"sk-data-table.css's forced-colors block uses the longhand border-left-color with Canvas/CanvasText/Highlight, never the border shorthand",packages/styles/src/data-table/sk-data-table.css,"lines 247-258 (@media (forced-colors: active) block)",yes,"Three longhand declarations confirmed: border-left-color: Canvas / CanvasText / Highlight."
EV-004,"packages/styles/src/form-select/ holds one .css, seven authored .html exemplars, a generated index.ts, and a .stories.ts file (styles-only directory shape)",packages/styles/src/form-select/,directory listing,yes,"compact/disabled/long-options/optgroups/required-invalid/t10-lane/t12-filters .html files = 7; sk-form-select.css authored; index.ts generated; sk-form-select-html.stories.ts authored."
EV-005,"packages/styles/src/disclosure/ holds one .css, four authored .html exemplars, a generated index.ts, and a .stories.ts file",packages/styles/src/disclosure/,directory listing,yes,"closed/long-body/nested/open .html files = 4; sk-disclosure.css authored; index.ts generated; sk-disclosure-html.stories.ts authored."
EV-006,"sk-form-select.spec.ts is structured in two test.describe blocks: a source/distribution-contract block and a live cross-browser block, matching the pattern this mission's Playwright spec must follow",apps/storybook/src/tests/sk-form-select.spec.ts,"lines 100 ('sk-form-select source, markup, and distribution contract'), 139 ('the component remains styles-only and absent from element, wrapper, behavior, and mutation surfaces'), 180 ('sk-form-select live native semantics')",yes,"Confirms the two-block shape plan.md's IC-04 cites as precedent."
EV-007,"sk-notice-forced-colors.spec.ts measures a non-color property (border width) to prove the forced-colors block is load-bearing, not merely present",apps/storybook/src/tests/sk-notice-forced-colors.spec.ts,"lines 1-58 (file header comment and edgeWidth/test body)",yes,"Confirms the 'measure width, not just color' pattern NFR-004 and the plan cite as the forced-colors verification technique."
EV-008,"sk-context-nav.spec.ts:813 is await ordinary.hover(); inside the hover/active/focus-visible/current cue-delta test",apps/storybook/src/tests/sk-context-nav.spec.ts,"line 808 (test start), line 813 (await ordinary.hover();)",yes,"Matches spec.md FR-009's citation exactly — correct as written, no staleness."
EV-009,"sk-transition-matrix.spec.ts:285 is NOT the positive computed-style-delta precedent — it is inside the negative/invariance test asserting hover produces NO delta on a non-selectable row",apps/storybook/src/tests/sk-transition-matrix.spec.ts,"line 265 (test start: 'non-selectable selected data has zero interaction residue'), line 285 (await row.hover();)",yes,"CONTRADICTS spec.md FR-009's citation of :285 as the positive-delta pattern. This is the wrong test for that citation's purpose. See EV-010 for the correct line."
EV-010,"The actual positive computed-style-delta precedent in sk-transition-matrix.spec.ts is at line 312 (test start) / line 326 (hover call), not line 285",apps/storybook/src/tests/sk-transition-matrix.spec.ts,"line 312 (test start: 'selectable rows expose positive hover, keyboard focus-visible, and active or pressed deltas'), line 326 (await row.hover();)",yes,"plan.md's Technical Context section already corrected this (cites :312, flags spec.md's :285 as stale). This research independently re-verified plan.md's correction is right."
EV-011,"sk-bar-chart.spec.ts:257 is await trigger.hover(); inside the rest/hover/focus/active/selected state-distinctness test",apps/storybook/src/tests/sk-bar-chart.spec.ts,"line 241 (test start: 'real rest, hover, focus, active, selected and nonselectable states stay distinct'), line 257 (await trigger.hover();)",yes,"Matches spec.md FR-009's citation exactly — correct as written, no staleness."
EV-012,"expected-stories.json's current total (before this mission) is 323",expected-stories.json,line 449,yes,"323 + 13 (this mission's planned story count) = 336, matching plan.md's Story-id ratchet section's stated target exactly."
EV-013,"expected-stories.json's $comment states 'Docs entries are excluded, matching every other element here'",expected-stories.json,"$comment array, #177 entry (sk-card addition)",yes,"Verbatim phrase found. Confirms FR-013's claim about the ratchet's own documented convention."
EV-014,"expected-stories.json's sk-workflow-board entry documents an intentional Default/DefaultDark duplication, matching this mission's planned DefaultDark story reuse rationale",expected-stories.json,"$comment array, line 34 (sk-workflow-board / #209 entry)",yes,"Confirms plan.md's Project Structure section's citation of this precedent for reusing sk-segmented-choice-default.html to also back DefaultDark."
EV-015,"expected-stories.json's sk-form-select entry lists exactly 10 story ids, backed by 7 authored .html files (the file/story asymmetry precedent)",expected-stories.json,"lines 250-260",yes,"Corroborates EV-004 and plan.md's '7 files, 10 stories' precedent claim used to justify this mission's planned 9 files / 13 stories asymmetry."
EV-016,"stylelint.config.mjs's ignoreValues array already contains Canvas, CanvasText, Highlight, HighlightText, ButtonText, LinkText, GrayText",stylelint.config.mjs,"lines 52-58",yes,"Confirms plan.md's IC-03 claim that adding these keywords is 'likely a no-op addition' — all seven already present."
EV-017,"stylelint's declaration-strict-value policed-property list does not include the border or outline shorthand, so a hardcoded-color shorthand would pass the gate identically to a token",stylelint.config.mjs,"line 23 (policed-property array: ['/color/', 'background', 'background-color', 'font-family', 'padding', 'margin', 'border-radius']); lines 35-51 (rationale comment on the unpoliced shorthand)",yes,"Confirms C-010's rationale for requiring the longhand -color form in forced-colors overrides. The config file's own comment independently states the same concern C-010 gives. Corrected 2026-09-08: prior citation of 'line 20' (a one-line header comment, not the array) and 'lines 26-33' (the literal ignoreValues entries, not the rationale comment) was off by the stated amounts."
EV-018,"ADR-10's styles-only class-level ruling names exactly five components (sk-facts, sk-disclosure, sk-data-table, sk-empty-state, sk-skip-link) under a structural-necessity rationale that does not include sk-form-select",docs/architecture/decisions/2026-09-02-10-distribution-and-canonical-markup.md,"lines 69-112 ('Styles-only components are a class, not a fixed exception count' section)",yes,"Confirms spec.md's Terminology section's careful distinction: sk-segmented-choice is styles-only per issue #270's explicit instruction, not per this ADR's structural rationale, and sk-form-select is correctly excluded from the five-component list."
