source_id,title,source_type,location,authority,accessed_on,scope_and_notes
S-001,"Issue #209: native workflow-board and lane styles",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/209,Primary binding mission authority,2026-09-06,"Read live via gh. Exact selector families; semantic board/lane/list contract; conditional overflow semantics; ownership boundaries; stories/tests; dependencies; non-goals."
S-002,"Epic #208: Work Package views",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/208,Primary programme ownership authority,2026-09-06,"Read live via gh. Application/library ownership seam; TKW1-TKW6 sequencing; native-semantics requirement; programme exit criteria."
S-003,"Issue #92: sk-check-bullet breaks list semantics",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/92,Measured repository accessibility failure,2026-09-06,"Read live via gh. A custom-element host interposed between ul and li broke list/listitem semantics and axe reported both sides."
S-004,"Issue #141: form-field-element",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/141,Historical styles-only decision input,2026-09-06,"Read live via gh. Raised the wrapper-vs-native/styles-only fork and required a recorded decision."
S-005,"PR #172: form-field deliberately styles-only",GitHub pull request,https://github.com/spec-kitty/spec-kitty-design/pull/172,Merged generator precedent with superseded prose noted,2026-09-06,"Read live via gh. Established build-styles-only-markup.mjs and generated barrels; current ADR-10 supersedes the PR body's original different-trees rationale."
S-006,"Issue #146: team-overview-feed-elements",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/146,Binding predecessor component contract,2026-09-06,"Read live via gh. Consumer composes sk-action-row inside native ul/li; no section-list element; action-row owns activation/selection while consumer owns arrays/order."
S-007,"Issue #176: native semantic dashboard primitives",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/176,Binding styles-only/native-semantics precedent,2026-09-06,"Read live via gh. Design system styles native semantics rather than re-hosting them; data-table overflow and empty-state precedents; tone-free boundary."
S-008,"Issue #210 and merged PR #222: native progress styles",GitHub issue and merged code,https://github.com/spec-kitty/spec-kitty-design/issues/210,Nearest completed mission precedent,2026-09-06,"Issue read live; merge 1f587b78 inspected locally. Styles-only artifacts and browser evidence are precedent; raw progress dimensions are not a token-value precedent."
S-009,"Issue #211: native form-select styles",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/211,Adjacent ownership boundary,2026-09-06,"Read live via gh. Owns mobile lane selector presentation; consumer owns selected-lane value and change state."
S-010,"Issue #212: compact work-item extensions",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/212,Adjacent ownership boundary,2026-09-06,"Read live via gh. Owns action-row card layout and sk-empty-state--inline; excludes status-toned rows and application state."
S-011,"Issue #214: Work Package pattern stories",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/214,Downstream integration boundary,2026-09-06,"Read live via gh. Owns final T10/T11 integrated fixtures after #209-#213 and #178; no page component or application state."
S-012,"ADR 9: Shadow DOM styling API and label ownership",ADR,docs/architecture/decisions/2026-09-02-9-shadow-dom-and-styling-api.md,Current architectural authority,2026-09-06,"No selector crosses shadow boundaries; cross-root ID references fail; tokens are primary styling API for elements."
S-013,"ADR 10: Distribution and canonical markup",ADR,docs/architecture/decisions/2026-09-02-10-distribution-and-canonical-markup.md,Accepted architectural authority,2026-09-06,"Current styles-only class ruling: native semantics are styled in light DOM rather than re-hosted; generated artifacts must be regenerable."
S-014,"ADR 11: Verification stack and generated wrappers",ADR,docs/architecture/decisions/2026-09-02-11-verification-stack-and-wrapper-generation.md,Current proposed architectural authority,2026-09-06,"Behaviour ratchets apply where an element owns behaviour; outer Playwright/axe/visual layer remains relevant to styles-only semantic surfaces."
S-015,"Current component-authoring recipe",Contributor recipe,docs/contributing/adding-a-component.md,Maintained implementation procedure,2026-09-06,"Token-only CSS; LightMode; forced-colors/reduced-motion rules; generated artifacts and verification commands."
S-016,"Current dashboard demo board/lane CSS and markup",Source code,apps/demo/dashboard-demo.html,Motivating gap evidence only,2026-09-06,"Current .dash-board/.dash-lane implementation uses page-local div/card semantics; overflow and five-lane visual grammar; domain tone and raw design values are not reusable contract."
S-017,"Data-table scroller implementation and fixtures",Source code,packages/styles/src/data-table/,Measured conditional-overflow precedent,2026-09-06,"Documents and demonstrates region/name/tabindex only when genuine overflow exists; no dead tab stop in the default non-overflow fixture."
S-018,"Empty-state implementation and fixtures",Source code,packages/styles/src/empty-state/,Existing composition precedent,2026-09-06,"Presentational consumer-supplied empty copy; no generated announcement or application behavior."
S-019,"Action-row implementation and tests",Source code,packages/elements/src/action-row/,Existing item-composition contract,2026-09-06,"Opaque item element with activation/selection contract; consumer-authored li remains native; private CSS is inside shadow root."
S-020,"Styles-only barrel generator",Source code,scripts/build-styles-only-markup.mjs,Generator and drift-gate authority,2026-09-06,"Auto-discovers CSS directories without matching element directories and generates per-directory index.ts from authored HTML."
S-021,"Styles package public entries",Source code,packages/styles/src/index.ts and packages/styles/package.json,Distribution-surface authority,2026-09-06,"Root export and package subpath lists remain explicit per component directory and must be updated for both families."
S-022,"Design-token inventory",Source code,packages/tokens/src/tokens.css,Authoritative token inventory,2026-09-06,"Existing neutral surface/border/space/radius/font tokens cover presentation; no semantic workflow-lane minimum-inline-size token exists."
S-023,"T10 Stitch project",External design artifact,https://stitch.withgoogle.com/projects/13081441628826430456,Primary visual intent but unavailable without project session,2026-09-06,"Direct request returned HTTP 200 generic Stitch shell with sign-in/account chooser and no T10 screen payload; no unseen pixel/detail claim is made."
