source_id,title,source_type,location,authority,accessed_on,scope_and_notes
S-001,"Issue #306: [TKT6] .sk-progress--indeterminate — accessible unknown-duration activity over the existing progress family",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/306,Primary mission outcome and binding contract authority,2026-09-10,"Outcome; public contract; pairing-decision clause with TKT5; required stories and tests; dependencies; non-goals; boundary. Read live via gh."
S-002,"Epic #300: Teams and membership — static-path contract, status tones, and public-boundary surfaces",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/300,Primary programme ownership and dependency-map authority,2026-09-10,"Dependency map confirming #306 has no #301 dependency; shared constraints (#286 copy rule); pairing-decision note between #305/#306. Read live via gh."
S-003,"Issue #305: [TKT5] .sk-button busy axis — supplied activity state without owning the request",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/305,Authority for #305's own binding constraints, read to inform the joint pairing decision only,2026-09-10,"Outcome and public contract; layout-shift, disabled/aria-disabled, no-announcement, and reduced-motion requirements used in R-00's side-by-side constraint table. Read live via gh."
S-004,"Issue #210: [TKW2] native progress styles — accessible completion over real <progress>",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/210,Binding contract authority for the family this mission extends,2026-09-10,"Three-flat-children markup contract; consumer-supplies-everything rule; explicit 'indeterminate loading' non-goal this mission discharges. Read live via gh."
S-005,"Issue #119: No lane runs form association on Firefox — the browser matrix has a hole ElementInternals sits in",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/119,Historical evidence of a browser-matrix coverage hole in this repository,2026-09-10,"Cited by #306 directly as prior-art not to repeat. Read live via gh."
S-006,"Issue #136: WebKit may not re-evaluate @media in an adopted constructed stylesheet after a resize",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/136,Historical evidence of an engine-specific rendering defect adjacent to media-query/animation reliability,2026-09-10,"Cited by #306 directly as adjacent history to check before relying on any cross-engine media/animation assumption. Read live via gh."
S-007,"ADR 15: The Static Form of Element-Backed CSS",ADR,docs/architecture/decisions/2026-09-10-15-static-form-of-element-backed-css.md,Accepted architectural authority (adoption gated on Family 4 product verdict; measurement itself is not gated),2026-09-10,"Full text read. Confirms the ruling's scope is shadow-DOM CSS constructs (:host axis inside @container, host-owned container-type, ::slotted(), and ::part() from another sheet) and does not reach a component with no shadow root."
S-008,"packages/styles/src/progress/sk-progress.css",Source file,packages/styles/src/progress/sk-progress.css,Primary implementation evidence,2026-09-10,"Full file read. Header comment states 'No shadow root: this component has no custom element'; grepped directly for :host/::slotted/container-type/::part — zero occurrences of any."
S-009,"apps/storybook/src/tests/sk-progress.spec.ts",Source file (test),apps/storybook/src/tests/sk-progress.spec.ts,Primary test-impact evidence,2026-09-10,"Full file read. The percentage/value/max consistency test iterates every barrel export generically and will break on the first indeterminate fixture unless scoped (research.md R-03)."
S-010,"docs/contributing/adding-a-component.md",Docs,docs/contributing/adding-a-component.md,Canonical authoring recipe,2026-09-10,"Read in full. ADR-15 :host/container-type/::slotted() table; forced-colors and reduced-motion baseline conventions; confirms styles-only components skip the elements/markup/ratchet steps."
S-011,"playwright.config.ts",Config file,playwright.config.ts,Primary evidence for cross-engine test infrastructure,2026-09-10,"Full file read. Declares chromium/firefox/webkit projects; testIgnore excludes visual.spec.ts by default."
S-012,".github/workflows/ci-quality.yml",CI workflow,.github/workflows/ci-quality.yml,Primary evidence for which CI job actually exercises WebKit,2026-09-10,"playwright job runs npx playwright test unfiltered after 'playwright install --with-deps' (all 3 engines); visual-regression job runs --project=chromium only, by recorded repository policy; test (behaviour) job installs chromium+webkit only, no firefox."
S-013,"Issue #286: No user-visible literal in an element's render() — shadow DOM makes them untranslatable by any consumer",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/286,Authority for the no-literal rule's actual scope,2026-09-10,"Full text read. Rule is scoped to a custom element's render() output specifically; explicitly excludes *.markup.ts documentation fixtures. Used to reason R-07."
S-014,"Issue #308: [TKT8] sk-confirm-dialog — consumer-copy destructive confirmation over the native <dialog>",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/308,Cited by this mission's dispatch brief as setting a component-scoped no-literal test precedent,2026-09-10,"Read live via gh. Confirms sk-confirm-dialog is a JS-bearing custom element with a real render() and no-defaults-anywhere copy rule — the shape #286 targets, unlike sk-progress."
S-015,"Issue #302: [TKT2] sk-pill-tag status-tone axis — supplied status labels on the library's one tone vocabulary",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/302,Cited by this mission's dispatch brief as reasoning out of a no-literal test on its own merits,2026-09-10,"Read live via gh. sk-pill-tag's tone axis is decoration with no inferred meaning from label text; used as the precedent shape for R-07's reasoning-out approach, distinct from #308's shape."
