source_id,title,source_type,location,authority,accessed_on,scope_and_notes
S-001,"Issue #211: native form-select styles",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/211,Primary binding mission authority,2026-09-07,"Exact native-select outcome; states; stories/tests; dependencies; non-goals; squad tier B."
S-002,"Epic #208: Work Package views",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/208,Primary programme authority,2026-09-07,"Library/application ownership seam; T10/T11 references; TKW1-TKW6 sequencing and exit criteria."
S-003,"ADR 9: Shadow DOM styling API and label ownership",ADR,docs/architecture/decisions/2026-09-02-9-shadow-dom-and-styling-api.md,Accepted architecture authority,2026-09-07,"Same-root label and described-by relationships; tokens as primary styling API; cross-root references fail."
S-004,"ADR 10: Distribution and canonical markup",ADR,docs/architecture/decisions/2026-09-02-10-distribution-and-canonical-markup.md,Accepted architecture authority,2026-09-07,"Native-semantic surfaces are styles-only; generated markup contract; form-field remains deliberate composition precedent."
S-005,"ADR 11: Verification stack",ADR,docs/architecture/decisions/2026-09-02-11-verification-stack-and-wrapper-generation.md,Accepted verification authority,2026-09-07,"Behavior ownership registry and outer cross-browser/visual/a11y layer."
S-006,"Current component-authoring recipe",Contributor recipe,docs/contributing/adding-a-component.md,Maintained implementation procedure,2026-09-07,"Token-only CSS; LightMode; forced-colors focus mechanics; generated artifacts; full gate list; visual baselines are CI-authoritative."
S-007,"Component authoring rule",Project skill rule,skills/spec-kitty-design/rules/component-authoring.md,Current project authoring context,2026-09-07,"Story/a11y requirements and ratchet boundaries."
S-008,"Issue #141 and merged PR #172",GitHub issue and PR,https://github.com/spec-kitty/spec-kitty-design/pull/172,Styles-only form-field/generator precedent,2026-09-07,"No form-field element; generated styles-only barrel; same-root composition."
S-009,"Issue #180: input constraints and datalist",GitHub issue,https://github.com/spec-kitty/spec-kitty-design/issues/180,Binding adjacent-surface boundary,2026-09-07,"Datalist permits unmatched free text; shadow-hosted suggestion model; explicitly not a closed select or combobox."
S-010,"Current form-field styles and exemplars",Source code,packages/styles/src/form-field/,Existing composition precedent,2026-09-07,"Wrapper/label/description classes and same-root invalid help; legacy control focus styling is not a select precedent."
S-011,"Styles-only barrel generator",Source code,scripts/build-styles-only-markup.mjs,Generation authority,2026-09-07,"Discovers CSS directories without elements and generates index.ts from authored HTML; root/subpath wiring remains manual."
S-012,"Styles package distribution",Source code,"packages/styles/src/index.ts; packages/styles/package.json",Public distribution authority,2026-09-07,"Explicit root barrel directory and package subpath lists."
S-013,"Story shrink-only ratchet",Source code,expected-stories.json,Acceptance-evidence retention gate,2026-09-07,"Stories named as mission evidence must be added with exact built IDs."
S-014,"Playwright configuration and current semantic tests",Source code,"playwright.config.ts; apps/storybook/src/tests/",Browser evidence authority,2026-09-07,"Ordinary specs run Chromium Firefox WebKit; visual spec is separate and CI-authoritative."
S-015,"Axe Storybook runner",Source code,scripts/run-axe-storybook.js,Accessibility gate authority,2026-09-07,"Every ratcheted story must load non-empty and produce zero WCAG 2.1 AA violations."
S-016,"Design token inventory",Source code,packages/tokens/src/tokens.css,Authoritative design values,2026-09-07,"Existing input surface foreground border focus width radius type and spacing tokens cover #211."
S-017,"Workflow-board #209 mission research",Completed mission evidence,kitty-specs/work-package-workflow-board-styles-01M1W0VZ/research/,Prior T10 access and consumer-state evidence,2026-09-07,"T10 project exposed only an unauthenticated shell; mobile lane selection remains #211 consumer composition."
S-018,"T10 Stitch project",External design artifact,https://stitch.withgoogle.com/projects/13081441628826430456,Visual intent but payload unavailable,2026-09-07,"Direct request returned no approved screen payload; no unseen pixel value is asserted."
S-019,"Release graph and size scripts",Source code,"scripts/check-release-graph.mjs; scripts/measure-elements-sizes.mjs",Distribution/size gate authority,2026-09-07,"Package subpaths must resolve; build precedes size measurement."
S-020,"Three Codex discovery reviews",Agent research,"issue211_contract_research; issue211_repo_research; issue211_semantics_research",Independent discovery evidence,2026-09-07,"Resolver-loaded architecture/contract review plus independent repo and browser-semantics analysis; all read-only and converged on no architecture fork."
